Dimension,Mean_Sentence1,Std_Sentence1,Mean_Sentence2,Std_Sentence2
153,-0.19941588056966705,0.19783311840952858,-0.14482318482650094,0.17966543397157755
154,-0.27554179083759184,0.19711789157717802,-0.1558796982862498,0.18051688460584459
155,-0.210676636141079,0.191995813529087,-0.19142514888222328,0.173123003869086
156,-0.22244280431748076,0.20035814515726622,-0.1621189249628828,0.1885065043213876
157,-0.250568815874204,0.21229641754875114,-0.26234996513771003,0.18102629170666357
158,0.39809826470737836,0.2001493000331761,0.31419181448183914,0.21519517537142083
159,0.31208548662711977,0.19015576550717148,0.19735372508176996,0.1680036762757803
160,0.2766656399524361,0.19190695638943184,0.18921516951894563,0.18926749353038627
161,0.23715932826915664,0.21444823920679024,0.20927844952984853,0.19458552826584433
162,-0.07760382668415923,0.21811246219733385,-0.022131415901086787,0.20628940166124352
163,-0.008739529637910005,0.18109178167716924,-0.0882843216691604,0.181462211185982
164,0.055801094595671036,0.18863707467591134,-0.013301974904551973,0.1777212498994583
165,-0.20396615205236016,0.19293772874066578,0.07441845882237345,0.1881844654937732
166,0.2039202832718701,0.19640487967505682,0.19922953221390366,0.1985611122025029
167,-0.03655465810461512,0.21082152774614774,-0.03442310060804401,0.1726637545917368
168,0.42271039576251684,0.23240555408630675,0.2810099620207057,0.22031923651838312
169,0.102319531298518,0.21293150795914223,0.03638157765460624,0.20479434910752722
170,0.1876441438975739,0.20035791851235324,0.26604787495500676,0.20043080594322676
171,-0.2808613710292588,0.17437711931209146,-0.24107572301334995,0.16443382816738286
172,0.033227834236629,0.2084802208201402,0.0817033440801739,0.21219363715627376
173,0.5568805970711402,0.22003740003797645,0.5822497892933994,0.1968939810279093
174,0.009988803912137002,0.23407657100540025,-0.18450866552213985,0.20522686292550804
175,-0.125919540037992,0.2683422281335067,-0.1123280102646699,0.23195007911756516
176,-0.1221572012931882,0.1897064796075427,-0.1296215310466271,0.20623690716565307
177,-0.11369364811964439,0.20449366344272832,0.06489425769651894,0.18467860684558027
178,0.06514756778266997,0.198240587058418,0.023451090433928512,0.17274049867253982
179,0.16188859541006012,0.1831417325290415,0.18031949446043097,0.1533882665980065
180,0.023600138287700016,0.21730445483242283,0.27576018609170927,0.18719839764295715
181,-2.0708662700110003,0.5297008730569566,-1.9387231908300016,0.4015640560103596
182,0.1655800306065209,0.20008700907809657,0.2315647617021263,0.18851191893434616
183,0.27824264233389995,0.1815787943481183,0.32701327791038953,0.15773977148377105
184,0.005756090199010003,0.19817883941072706,-0.016656335942367467,0.20557879235325097
185,0.28333856217594683,0.2421683114406879,0.04176421671196501,0.24632384332828114
186,-0.13966177879387995,0.22628481447736903,-0.17418269832889205,0.22117244998093272
187,0.19661097700097993,0.1992384471031551,0.10570843391853306,0.16850264785075
188,-0.32861047000973953,0.19287065961382552,-0.40258580042198056,0.18314767703115634
189,-0.3679142640640077,0.23098690412772563,-0.4020234505621396,0.20808730496366323
190,0.06226715358757099,0.24626900793355938,-0.06950850575101299,0.265661074299606
191,0.05144993339037604,0.22282418069339513,-0.07133909275409596,0.1927378531946117
192,0.00956742420128499,0.20527549939002487,0.04535354877619201,0.1805471874637041
