dimension,kl_divergence
586,0.01368137034315951
575,0.23946538985365518
641,0.24083918938347695
335,0.22414104633001838
684,0.30590794322359066
548,0.09593510898537264
718,0.11656345259021803
556,0.013962514105199827
16,0.03085592436596907
527,0.12829665368474816
522,0.11439932393457126
194,0.007987745063192036
45,0.01912266567328644
264,0.00684750287997926
664,0.029426974087956723
330,0.020696594486534672
699,0.4177464811526652
653,0.04868633142785086
461,0.016148516913831425
174,0.02355113111790896
38,0.025570959327342522
531,0.04278456849962459
657,0.008274355031986813
525,0.03886105252438864
485,0.20225655678419666
259,0.028081658601690856
578,0.012809193798452329
508,0.1255062996963442
185,0.143710369733513
327,0.021017071731763134
4,0.022338758631503954
444,0.05310058608836017
121,0.04190166382203811
470,0.017343178314844044
395,0.27038381718653454
87,0.011480053413051925
190,0.008181113628967358
34,0.005780502304580959
515,0.3399135982559067
178,0.0025222670130261716
244,0.05272803060765218
558,0.015850335605521758
592,0.04611538653450498
727,0.20383560082931337
186,0.02263692453788963
316,0.3710900318072254
764,0.00713687702480901
235,0.03098147455130375
2,0.005112037209690759
1,0.02216463482002394
690,0.15674036014433812
564,0.017103837310944066
166,0.016951548318214493
399,0.024801194929249003
754,0.048242739737243405
665,0.03787979798218323
741,0.011690592518497547
611,0.025294374976941605
449,0.01956526380506721
3,0.026393386645017176
266,0.1811640058171768
396,0.003243622264578765
413,0.03368098796804792
620,0.007337446029179918
156,0.012389014602977921
405,0.06731856991297755
43,0.10041104459116117
24,0.037749706401192816
344,0.032908675082631136
613,0.008865531763874545
345,0.0115332889167202
421,0.013862507111469684
743,0.04452757778449166
88,0.04815411891768654
84,0.016841698547004055
228,0.17317218574723314
443,0.057590671908921955
448,0.05012605931796172
568,0.15384588834375107
445,0.0372934276932177
60,0.03138203372261497
451,0.006001458932259172
306,0.012273090040041774
736,0.01425949328343261
209,0.18751472874951944
530,0.052310564990405664
373,0.10143067712266438
75,0.27474661666668077
512,0.19045968752381304
411,0.014325729534588522
97,0.031925696050942524
271,0.034560160786797606
342,0.008844433438946787
432,0.025750857995682414
50,0.09661950273253943
78,0.03442824996653683
222,0.052281425399787584
486,0.16221597568410367
752,0.08968448922663577
329,0.015517801490169889
169,0.08886963591057191
462,0.0057067603420373056
28,0.1007945385944945
440,0.09085953647498489
206,0.10757550308197102
737,0.003841656658150409
382,0.05477385386891816
599,0.02030485800624148
682,0.028292617461734153
595,0.07869488524770003
217,0.03238443475269887
693,0.06716646713315923
299,0.008621735610036438
655,0.0298396074270836
201,0.034003127137532514
689,0.12874711200468278
312,0.07582589438238528
393,0.00842821806807215
570,0.02859496060982245
144,0.01659715968836772
597,0.07679040185968856
314,0.29494612687989996
523,0.03814852889733662
115,0.02327100645678887
391,0.043886247723664666
9,0.012231404159975364
189,0.07581346385551845
374,0.07358825278161452
589,0.03247389719001219
356,0.04803449058799053
27,0.03272310019255778
377,0.010697666675879893
703,0.006728490053653399
555,0.04659668306626889
627,0.04424450485273315
286,0.09132413734489238
177,0.11854220816726362
581,0.019006508987073248
590,0.11002875807667735
464,0.09305969960785643
136,0.06153788485182741
309,0.05999937558918604
496,0.03221068719359848
6,0.02821242414895439
404,0.1311144068089619
502,0.07440548567828512
10,0.10274606897682347
263,0.058449315294524004
197,0.023009443158071873
493,0.026453654244049822
609,0.02618929528183073
227,0.09006303945582653
604,0.01322423231555763
138,0.015771435862247354
371,0.04158693804510723
580,0.08386115246899746
407,0.21619006063134807
419,0.01502598341963233
104,0.05089187276760056
717,0.08726867179001374
160,0.10535794401933951
503,0.039450573724763204
273,0.029219535062311258
454,0.0308892954035936
751,0.013469919589983566
749,0.030886013584244042
182,0.23569820398454042
146,0.014430101356788677
274,0.038681405697138196
289,0.14952471320471408
210,0.021871002415719733
86,0.08079908644821387
370,0.07491956901092499
753,0.028853166765081664
102,0.3435691182377527
253,0.08270716814639092
66,0.08680476634275898
489,0.12175040941627098
723,0.2691771697078888
572,0.04811411004121215
509,0.04103929246400973
290,0.010797662287916362
459,0.10282439607913324
478,0.019055646353549102
94,0.0041658142576102754
5,0.31675061999792437
384,0.2581605787902663
239,0.018759522374122335
381,0.03992310047383914
418,0.12733570004786884
428,0.270624667098375
536,0.005490614473698728
139,0.01451184640833329
543,0.010826361088738124
748,0.38780279496399594
681,0.036504139444514555
517,0.016990740376597896
313,0.11410284303158547
730,0.02121830567728585
135,0.004708218257715937
763,0.0043012984793067985
103,0.13592321478888364
603,0.02935207255123416
213,0.04125082664681863
151,0.08359713662774834
98,0.02189564662105245
618,0.14203519930373867
100,0.024186342014460155
276,0.046638733620408074
159,0.17481280261446436
176,0.10189707679432645
731,0.053449576967699745
729,0.04194429741334367
155,0.09020711709773571
204,0.029018592943186827
477,0.008138383627523206
175,0.026072828458025835
559,0.13837447356016377
635,0.007630879716763648
307,0.05665542911869278
302,0.03486069188054292
171,0.018201525671156085
