dimension,kl_divergence
97,0.1212409622052343
411,0.05456078332672238
463,0.11243923432932097
367,0.12066106579753465
505,0.098314146887848
512,0.11791673639438106
649,0.3700119248666402
192,0.12332815957497681
243,0.10156341192044094
457,0.17073903246625916
312,0.13417425527311627
390,0.10392613188248821
310,0.06076459637422595
304,0.016254975297488712
382,0.023820378267087657
567,0.08187658953895871
489,0.14764808195434298
162,0.08650224877339328
735,0.03540067194885077
479,0.12142683689736683
340,0.07639943767334985
67,0.09924608581597436
160,0.29581042915527045
172,0.13132645457738912
314,0.03176116729890896
478,0.14063364187216357
6,0.2332340023901875
252,0.0472497308919568
454,0.038288175586140186
760,0.03207140111513243
395,0.04071838994533281
580,0.08840969005562818
42,0.013464788898128835
490,0.2107109018446044
723,0.07942698238702321
181,0.18441360943849736
294,0.05470525506443068
548,0.052141877526753234
168,0.11419746752979265
730,0.027103084636571417
249,0.08516514195310143
677,0.03373316550304311
423,0.3456379572678686
536,0.2831325904002574
362,0.09030915417275634
22,0.05137698646233411
194,0.03709120057729503
674,0.12107682273658228
151,0.031728265350972576
43,0.1740316302315306
354,0.03916969149916619
657,0.04107855120640728
261,0.02181069951439719
385,0.01723223855114594
488,0.07386110320582555
328,0.19797458912754964
627,0.04224848237528541
665,0.04356299476897612
424,0.19345833702399126
111,0.17949104349481748
263,0.06522042510961756
257,0.0881456367079361
751,0.02465754615149354
688,0.10813458723750502
635,0.01603515753509751
220,0.07251221378369617
90,0.019920334214160566
591,0.4006707484359708
101,0.049761031655169034
351,0.031303533110085574
298,0.009325886499835692
296,0.14178791089196674
201,0.08231533177860427
397,0.019002459098848318
179,0.09100614971825834
603,0.18076239070348987
26,0.08257500651139078
339,0.04127160561538337
152,0.07995502799494833
308,0.02089531090393033
153,0.027465804053871147
285,0.19389429936252126
248,0.06765591758459395
137,0.09782712827444356
233,0.03319623727568299
659,0.034993258940699136
197,0.07719697445730479
455,0.1067284375971644
404,0.07786795046390309
209,0.03851801549125184
407,0.25461239881340514
107,0.04019274846420417
33,0.029090139247670677
140,0.051925062840772536
583,0.14466975709929403
129,0.028834377462026828
346,0.09378997656282412
171,1.3672102562757917
165,0.03279982719175194
696,0.026036058981757784
208,0.030977435430850696
679,0.2526250230834998
707,0.1929130476182286
55,0.025044805416939545
337,0.019664584889159904
516,0.08206995931098059
311,0.04868582831193749
632,0.21205873606209646
81,0.12863101805374083
262,0.11536684074358425
341,0.018066601031000978
622,0.26745648014262563
58,0.08026835388681572
