Dimension,Mutual_Information
1,0.036656056269882865
2,0.012120241277369277
3,0.009358975190174569
4,0.005477697702610966
5,0.010495896874537801
6,0.024492785212718783
7,0.013810965795212966
8,0.014650218455728357
9,0.03960691450737574
10,0.031749996056018734
11,0.005903245470144224
12,0.0029402762186251023
13,0.003255669221051936
14,0.014334910146481465
15,0.004853369927107103
16,0.0053899946453423095
17,0.008364595367994825
18,0.0063990307547734035
19,0.011027468944512758
20,0.011048551423232682
21,0.03218897028696781
22,0.007544065618519662
23,0.0035112743937391537
24,0.003045925826730043
25,0.0217094695857881
26,0.014083475876294228
27,0.03212845233215258
28,0.05780739832395268
29,0.02946624587353408
30,0.0020319244382603005
31,0.003762608740279637
32,0.0032118296995518806
33,0.003778583260578193
34,0.003800047318108811
35,0.005928322384944361
36,0.02221656406723522
37,0.0019521743249467025
38,0.01836468484186011
39,0.007272777762015424
40,0.00756188251414807
41,0.0035611542400443216
42,0.00353027305570313
43,0.005828609776852782
44,0.014547788080505338
45,0.004738914511434954
46,0.007755892714932232
47,0.003623464722870943
48,0.00323541906097443
49,0.0035529398212091542
50,0.0013787457817610242
51,0.01184146466973516
52,0.004528606032062114
53,0.006409006566599755
54,0.0022656440653495633
55,0.003663165495768998
56,0.006666089747529462
57,0.006992494109635823
58,0.014506216145408903
59,0.033153140742361344
60,0.01094243953102638
61,0.006292271237728013
62,0.016280442101818747
63,0.003970088267276732
64,0.030544318548467522
65,0.04796798276490268
66,0.03737433161729812
67,0.006174855901055092
68,0.00451140920759182
69,0.00605005614705794
70,0.0044828136529618395
71,0.029254309727755272
72,0.0014019976693112539
73,0.008281024431576058
74,0.00815122219980876
75,0.006832850829405872
76,0.021883383415342135
77,0.0335666424268672
78,0.010895484052447162
79,0.02482456642140856
80,0.004276033695970759
81,0.0060218381895550885
82,0.016089647937077768
83,0.00820872800086666
84,0.022721066405916528
85,0.0038750540515076135
86,0.011140148074109409
87,0.01706009847828372
88,0.00698789957580135
89,0.0031427755280506106
90,0.009614453784333336
91,0.003304129852314284
92,0.008284565627085093
93,0.036124649077877685
94,0.03773250923692247
95,0.036808517587970956
96,0.01154687459014448
97,0.007745197696501081
98,0.017386488409437996
99,0.024707206435462446
100,0.009816389568987803
101,0.036369291284356446
102,0.0044729540015694055
103,0.037388299648183014
104,0.04301413068557135
105,0.02813663978933611
106,0.0264791730030045
107,0.01760539988474471
108,0.008572062276838772
109,0.005688268772598627
110,0.061960004803527126
111,0.013725387949527969
112,0.009114828617742425
113,0.038317646599123976
114,0.0030861745763008583
115,0.0020748454419367494
116,0.0063106211548397614
117,0.009216607333931474
118,0.004421402545093446
119,0.00733174640264788
120,0.019337369103034525
121,0.0083648054052212
122,0.07976515990150819
123,0.009521158507513693
124,0.09131715449370971
125,0.005971015005257312
126,0.02731992156837046
127,0.010886500125754338
128,0.009838474820054184
129,0.0037370362193658506
130,0.008226810739608674
