Dimension,Weight
0,0.08738797710701245
1,0.20614234395341596
2,-0.6244483441111482
3,0.3324586261120675
4,-0.2561539249793333
5,-0.01856707791076389
6,-0.12239167364823367
7,-0.10283895860309288
8,0.4439886851513037
9,-0.15204206053331967
10,0.23592759080549933
11,0.09086140818950207
12,-0.0006442167017793885
13,0.1418620848370809
14,-0.10224594272298242
15,-0.15305202855819874
16,0.12898874923330747
17,0.19413682134316917
18,-0.521317941463392
19,0.1518520770217348
20,0.10752805864304685
21,-0.20336189229600998
22,-0.02138900470636958
23,0.380877675528951
24,0.1667707504730661
25,-0.021218476089066237
26,0.1824666780747263
27,-0.2490715382134814
28,-0.1336346632767631
29,-0.20117130847246598
30,-0.2939914052937587
31,-0.01999081726700794
32,-0.0028691018536997925
33,-0.17136886955803118
34,-0.36742235382801125
35,-0.314593887754331
36,-0.3931961093134843
37,-0.17090223048901657
38,0.4560809151565794
39,0.07373963938447635
40,-0.4900476664158668
41,0.1952776761636432
42,-0.83982700672405
43,0.30917622455606153
44,0.39744226343481287
45,0.4507432244245072
46,0.8088547735361884
47,-0.014494984037403392
48,-0.03255277616712843
49,-0.028308538304246567
50,-0.37344223120735404
51,0.05847428339787192
52,0.2818243911406657
53,-0.07561435311253491
54,0.03450244772122586
55,0.04579827866868307
56,0.2712598252716659
57,-0.07195367959569136
58,0.07696592090030265
59,-0.04806864575812392
60,0.40827128920239175
61,0.3411529081170208
62,-0.18375517937008945
63,0.5527053236228328
64,-0.1989647587985828
65,0.24862514949747472
66,0.07472038273402157
67,0.038395832454069134
68,-0.2993704414306542
69,0.11378567255764513
70,-0.040828856492608645
71,-0.09276552310724122
72,-0.1837153429745911
73,0.20615573169294535
74,0.9069612704615313
75,-0.2993997252261908
76,0.4689253571039112
77,0.1349972562695626
78,0.25851601486170106
79,-0.023153039540537317
80,0.25652183145609936
81,-0.19938861997129947
82,-0.13834724303316015
83,-0.40865980101616073
84,-0.16351068377872685
85,-0.6211859541686982
86,0.025107342180885887
87,0.26075235637724836
88,0.023598354550484795
89,0.15847395153538962
90,0.01851493947516542
91,0.07118114483619506
92,0.596096897390943
93,0.296912273899917
94,-0.20680026972518117
95,-0.06480272825594151
96,0.5475980583226939
97,0.1403823447375825
98,0.40526191016469326
99,0.6225404485733744
100,0.08781617929804147
101,0.6174615739544185
102,0.2814771637536182
103,0.5198293960507383
104,0.28301122184444355
105,-0.24829638012443506
106,-0.06414243697529115
107,0.20174721616722255
108,-0.3760696080560613
109,0.09024855606862305
110,-0.2942304331826325
111,0.19838194464920178
112,-0.08797676593590988
113,-0.10396253452937176
114,-0.3830519345142681
115,-0.13784846133169718
116,0.37886458747907853
117,-0.3789538565271638
118,0.057349302708290625
119,-0.43820382408632513
120,0.32949262472928903
121,0.03579701815020136
122,-0.12088850958169246
123,0.04226956415495362
124,-0.3299991144062439
125,0.4584102154765392
126,0.24313500008920996
127,-0.5813816076281058
128,0.25167407657714147
129,0.03778728099299028
130,0.13387894879821086
131,0.5004314593911895
132,-0.3127972371123815
133,-0.15581412885604187
134,-0.00745963366634163
135,-0.5115792449827715
136,0.4546047850641635
137,0.009492160147781165
138,0.09702394907601819
139,-0.11073591335483833
140,-0.31320813521702123
141,-0.3511206585027053
142,-0.2224989517946574
143,0.4526094863275563
144,-0.2131708785746524
145,-0.43511642037793913
