dimension,kl_divergence
577,0.011070208532975887
43,0.058318578685985396
441,0.026639113419858845
303,0.2265859080726677
210,0.058664315773767614
217,0.3023452896607765
348,0.021419908880462916
509,0.4001963077804969
376,0.019279253315860875
745,0.451460437293446
431,0.22420839491088818
16,0.008433152451670343
54,0.019549954486135397
221,0.022527906080583172
574,0.5969668385763027
539,0.10995606871088869
164,1.1296892908253855
331,0.04934958712776641
56,0.1940587271199052
418,0.04516606446799487
691,0.07163648199355437
464,0.22737066369253245
71,0.01805813854631234
207,0.026080917863118953
497,0.1359972531562152
744,0.05765242176887742
522,0.3426588804747668
756,0.04404509285863633
614,0.12205307339879731
72,0.010180606852013784
179,0.16904822887122897
633,0.3883762918252763
731,0.13075243944424933
548,0.5115092031420774
528,0.04399408768010458
448,0.1418801160055398
387,0.08124908978588222
483,0.3431155112574087
60,0.029830375477189915
192,0.0700982832193822
520,0.06275699524607818
76,0.03261537042427774
352,0.038760882615040966
335,1.855824949919768
544,0.16895682517995902
400,0.04432364836167621
108,0.12635414527656763
685,0.20275746531266545
97,0.021934722905299027
695,0.04864652579793352
136,0.23777382786573245
702,0.05779076175880947
301,0.003881803705417616
620,0.004856901302787327
449,1.1215989259289256
327,0.01814213217691636
598,0.9667602949305899
765,0.07732598733349272
14,0.13485576178240707
617,0.016725128501776317
479,0.7490446226348315
292,0.029410377982996946
84,0.4267400404566155
476,0.2598632762393878
632,0.009065223863539555
640,0.012593823831799756
120,0.11107638062880151
184,0.020152100823988432
200,0.20475023985250695
338,0.28298947323892937
257,0.3010378191785755
33,0.9382073791177075
676,0.8453730831727745
371,0.47846225676502746
403,0.04918728511892344
251,0.03171362635940698
724,0.7095933378168916
563,0.019076891562861027
101,0.0555031066574351
272,0.12889040324674586
363,0.11490701808913714
586,0.01040211457822563
766,0.0754496212358735
570,0.15628251887668576
73,0.5832976764356814
717,0.03981266151002676
248,0.043961336334213896
113,0.07578614843044403
409,0.03075786328382447
9,0.055003889360716034
243,0.01746878229885788
708,0.2000187738290525
329,0.0597359606705054
176,0.09934570837225441
263,0.022701727588458294
715,0.2728367866175129
264,0.14667480318779172
421,0.6569365321343248
382,0.021094634186966187
306,0.1739412517908672
613,0.006974478145910912
644,0.4983518919646133
62,0.038156365628824344
636,0.11264340672818424
253,0.04591263230330487
173,0.38535821188553643
446,0.04325584971117689
