Dimension,Mean_Sentence1,Std_Sentence1,Mean_Sentence2,Std_Sentence2
1,0.22633740890558987,0.22706161449539106,0.24372134289351208,0.20329697515237516
2,0.158322076537929,0.20994567819069931,0.01683475808675503,0.2026313611712411
3,-0.034137819254633814,0.2215638356057878,-0.17595751446292102,0.216985863795147
4,0.04178210945820601,0.15389562813492955,0.14635754630405529,0.15552118494395514
5,0.162990929429894,0.19225335996139487,0.0034325338680810053,0.19598248252198494
6,-0.12712364434598014,0.20416817800268727,-0.041877045686611956,0.19340682783914423
7,0.14326569125965102,0.2246362646032354,0.04957792206670898,0.20815395474569615
8,0.46056651980152963,0.26637269727988877,0.43839195328622954,0.2523773313078256
9,0.05552211570622298,0.23325663085320794,-0.0005469384653890133,0.22905850172552122
10,-0.32325660842031567,0.2260532523570638,-0.2114997496842702,0.21258616871872937
11,0.06973153978106501,0.18797434114323752,0.13062888589083615,0.1725096952678059
12,-0.165911292999637,0.21179756172594927,-0.17556790754577917,0.21295443544325357
13,-0.002853734098539009,0.20286001978928345,-0.02953915099789003,0.19840600769268266
14,0.21224646238738792,0.22076029576827272,0.19747930803768624,0.21027286561744257
15,-0.36181632401235975,0.22188044768291632,-0.3102042035318981,0.21949868218552512
16,0.1384418556728469,0.20843966907047654,0.10985732865892107,0.19027266698817813
17,0.18072533880468508,0.23874400914429647,0.04281982200114992,0.1973108094996852
18,0.030962669823648998,0.19721373534197287,-0.017415992673160994,0.1781770587282291
19,0.0038550082510219828,0.20519453010529498,0.03128266292171799,0.1911344890671869
20,0.16864159110052018,0.19485685985180753,0.13227746156347361,0.18196743621854286
21,0.035928855936981904,0.20202351607561742,0.019979208891272967,0.17905083345059516
22,-0.06539769129650795,0.21350450676423852,-0.08098887592650603,0.17437838094301936
23,-0.14892965246517315,0.1717374231016774,-0.14352818219581134,0.17584448572745204
24,0.23755847105959083,0.2185588673045805,0.2832286305181995,0.20828872054763106
25,0.34150303046074565,0.27733837921122934,0.1934511159752882,0.24904531798150997
26,0.04580362885572542,0.17583011219199216,0.010334079961582001,0.17392810927597213
27,-0.10229006945541404,0.17167061341751022,-0.12513220255664992,0.1704235877713417
28,0.1438822491604383,0.2559418645708798,0.033661980290761014,0.234772454372983
29,-0.15580892506444724,0.16873512025318896,-0.22928330352829102,0.14775523786289818
30,-0.04346238398394689,0.19589364016792649,-0.073928449656458,0.18814500787469535
31,0.05455268165364881,0.2275648058492213,0.05778968235810396,0.21003015073140952
32,0.2039210437563401,0.21258443560229842,0.1385594945226421,0.20843687939537597
33,-0.032535411715142,0.19715858645079407,-0.08624061105477795,0.1956618135313635
34,0.05291890742776503,0.2417044272818938,0.07093861979306601,0.21810195028229362
35,-0.04135103727896397,0.19385841032659137,-0.17986048540696295,0.19103405845390142
36,-0.17047555594962185,0.18239222077317116,-0.17622908594857856,0.17163517906170836
37,0.03469558443753301,0.1737425181676088,0.021574079354388025,0.16418630594270495
38,0.028325927457991257,0.20021523910476324,0.020904763760375013,0.1927027194653003
39,-0.258884469890317,0.18172983314364244,-0.40916102138521,0.18403042336143766
40,0.07571986570096896,0.2193717336856981,0.07823712919122101,0.22619875000430212
41,-0.22454759621562304,0.21470700784739805,-0.17904885022081393,0.1839563187733537
42,-0.2222727988286584,0.21871645652041424,-0.21560999576014586,0.196124141672153
43,0.14603209066331488,0.22547320089736828,0.20197701605928112,0.21037120203808027
44,-0.09070071468012596,0.1846724453452761,0.03491739767645767,0.19891734817381196
45,0.09253700528353005,0.24771537894983192,0.11412197461140174,0.22540965408910874
46,-0.4352523134947701,0.19411529248634776,-0.2655910615446986,0.1869643657064872
47,0.13253153454361583,0.27767394568548137,0.14762176181822761,0.2677782459965463
48,-0.10128056233728835,0.2030561542334288,-0.06699335091098192,0.18054446704606322
49,0.11598420794858796,0.26709499334022646,0.12521410006333186,0.2603634618133609
50,-0.12449321142702532,0.18442048415083587,-0.089282072405167,0.18362835916058737
51,-0.3914700937906005,0.18163792327391945,-0.3043527320906755,0.16546306862989715
52,0.21481488885040195,0.22134294826873532,0.18489039992552894,0.2179037211680196
53,0.027442773525199592,0.25312799829603255,0.05907560546155339,0.24302869687593096
54,0.1641592428703848,0.1822673558194173,0.19778267716305314,0.18015307774965347
55,0.03008003525738308,0.2024674456638413,0.058923592987618005,0.17627319145871348
56,0.43081863539117976,0.27491380526074993,0.4924778289189698,0.26760278753114175
57,-0.013203924987497015,0.20796748347366426,-0.01697862604093497,0.19140716324052348
58,-0.06428945236243996,0.22636588867008048,-0.06302237453151299,0.20458513873190004
59,-0.04840377047130203,0.18776180016668412,-0.05279286414081307,0.16922958779553943
60,-0.1228101933182935,0.20069129315045547,-0.08477202155985195,0.18984403657829857
61,-0.010776878960941967,0.2106822821241617,0.11261206635859901,0.2006888951776726
62,0.10321900621295559,0.19112247727392986,0.09647068837428098,0.1886905973869261
63,0.05527851258982317,0.19725443592771813,0.037247276213374016,0.16875462925143925
64,-0.2502375772222099,0.2532685211225406,-0.24412406591897706,0.2354160635892611
65,0.062012588869861995,0.23803305756035942,0.06535672395099144,0.2182612261741661
66,0.3037509022947613,0.20145709463913777,0.3681554606819099,0.18462196411520893
67,0.017365607405973402,0.17049529172144073,0.09053506861676498,0.1617677589786638
68,0.1810888291232401,0.23075757372047975,0.12115016491981404,0.22819493998512394
69,-0.38821154756604004,0.1996432341660752,-0.3951685377579402,0.19025010801199319
70,-0.02080153208736699,0.20034333452957095,-0.004597240034423994,0.20456106521508255
71,-0.19063036639853617,0.22788772574907235,-0.19169268798303482,0.21304362890378398
72,-0.23025231747571484,0.20490742877596893,-0.19695089303975793,0.20483878203998748
73,0.02023789920156699,0.2440330109725678,0.00347102267275401,0.2033475443499908
74,-0.009121980163506998,0.19853250397274935,-0.07061848269507966,0.20592220776531597
75,-0.09190921501988952,0.21680529205015991,-0.07106694587504601,0.19843521717170548
