dimension,kl_divergence
180,0.05556076174614435
398,0.11015408940201911
15,0.005599146736002205
605,0.028058899011821452
538,0.04342942875215591
291,0.015641898940849087
479,0.003082659004952435
686,0.060620012977589295
580,0.013917923208583444
306,0.07547799179103239
264,0.03158646766886144
663,0.20606320174941092
534,0.038540697207843685
269,0.0997510406759487
330,0.0398944403959209
144,0.3587712418266423
706,0.15524968674600054
492,0.007922464200388713
139,0.019530163527091745
445,0.009901546439351698
422,0.042408230027093034
577,0.016928646821024716
74,0.026137088627124376
163,0.04485934745493847
498,0.05591812733866708
28,0.15417282315532005
667,0.07776967133064967
332,0.07395796332566859
394,0.21403691270454742
319,0.03789530928644738
340,0.1625184483990419
157,0.07095469608874841
442,0.0064842339175159676
62,0.01747711744473128
11,0.15224483041252876
423,0.01365365784223262
600,0.06647995788375217
205,0.09146916580467931
113,0.03848457692756946
556,0.009069606697632465
385,0.09814156548841106
219,0.02624292094413733
441,0.1402589914864124
176,0.04410821903402441
371,0.010714463793971545
381,0.005940692765729094
665,0.007982360168768306
246,0.057340603983895684
76,0.054380850979414495
140,0.014273833956751868
762,0.05313240142078956
409,0.016356790485719107
60,0.011789525235144975
30,0.03681381924572842
752,0.011508494816193239
525,0.018517277753324363
530,0.07619520087749677
602,0.07306185512829413
173,0.02498608053477138
16,0.0160060428402413
25,0.1626543476494604
34,0.02200265764624519
284,0.2060668742125263
581,0.08498960949022988
152,0.0059628902905513636
542,0.04378724595742451
378,0.025935642319777095
505,0.025418716397694198
557,0.007818999813751054
182,0.10353310018230198
468,0.03656865621704862
481,0.006976050432375722
274,0.05088900381333417
440,0.050782992205156516
407,0.23093869992277957
547,0.026431198765173473
42,0.16733961754075938
692,0.04447809535318564
635,0.012408719518289693
111,0.014757868759060148
373,0.01044486433132641
464,0.06773830704579535
666,0.10084675779693436
145,0.03442997707705477
334,0.008860756737205981
460,0.13159466319119323
463,0.015025879508976553
85,0.016278803483613366
485,0.02622895403715408
699,0.005546639253226624
476,0.008222757709887233
657,0.02885646698198699
721,0.06467649101631526
632,0.05576713280975064
661,0.08776362777687685
528,0.0569664770343598
194,0.0065256688944396474
241,0.05232647662181336
262,0.027053028736204122
457,0.11277492393895328
114,0.07668173381218422
411,0.011453877192375304
323,0.018453338701708292
178,0.021354399776118506
170,0.11365108823549758
641,0.010365366259574644
231,0.052664694563090406
104,0.11304031527078541
107,0.002490831706843687
99,0.04172855785835767
443,0.10857071305300772
133,0.13803208701966022
356,0.010515590611767585
619,0.1859609612442537
1,0.1162086814293338
569,0.004520645271877708
726,0.0788493974062481
135,0.053037565667140456
652,0.015491343753026585
669,0.10333918301505716
110,0.010701244404657459
659,0.02888075996756037
434,0.03305511403595249
132,0.02746575708060747
616,0.029018193870282306
353,0.011281978123264324
