Dimension,Weight
0,-0.20760126712343285
1,0.27589962795235334
2,-0.12280651072373658
3,0.17902228897345362
4,0.3824863777219899
5,0.07042292019324195
6,-0.13617010699730706
7,0.14489513871567875
8,0.07288740082475433
9,0.14765411922667795
10,0.11249952437272509
11,-0.2026086470634016
12,0.21476660432512062
13,0.21406522866654612
14,0.3359393569465367
15,0.4829432811617769
16,-0.6052538945359539
17,-0.23147383485942513
18,0.05410519280999278
19,-0.11360017785001206
20,-0.12300612791712634
21,0.002836275094337336
22,0.11153455643303223
23,0.15083804067269366
24,0.07985952524633723
25,-0.39314034242955054
26,0.5379326308373359
27,0.3920172007722614
28,0.5964008507230198
29,-0.0490766778585122
30,0.4507500419007051
31,-0.13971786679729692
32,-0.06753098819626212
33,-0.3254062658796046
34,0.260428533124353
35,0.01746645035876573
36,-0.07164888542767994
37,-0.008227054217087805
38,-0.15502567000867
39,0.2952416461217238
40,-0.34620588714034084
41,0.15871080486579336
42,0.4241508012384717
43,0.4459743988585772
44,-0.2633995988306081
45,0.022814037124459216
46,0.33882284963557874
47,0.4814621767172872
48,0.4362193947542857
49,-0.08272087640012873
50,0.21058898637488166
51,-0.07666934449484251
52,-0.41267188265266347
53,-0.133297443604465
54,0.0458444508632381
55,-0.07672890403639604
56,-0.027192071963902918
57,-0.10552454408466251
58,-0.2321463872000337
59,0.220935068042051
60,0.4681553921907603
61,-0.20734295275938447
62,-0.5210530950205567
63,-0.21681519416185935
64,0.09641873296647939
65,0.33879286710676626
66,0.5322499963754129
67,-0.2009765052003512
68,0.19087369170470775
69,-0.40124629252608957
70,0.18538202669467957
71,-0.015284144845158618
72,-0.3493979627662425
73,0.45398467262653275
74,-0.6420832576213903
75,-0.10064925888291627
76,0.2672214102519949
77,-0.026987652160030486
78,0.22376084066653806
79,-0.053067466262016486
80,-0.4669235657877578
81,0.19034092023619778
82,0.442431913522796
83,0.1988876920186139
84,0.024431075018725927
85,-0.03649444691982377
86,0.642264104857643
87,0.321756168709402
88,0.6726773995601758
89,0.036690810037318854
90,-0.19650952446974917
91,-0.4078516952702416
92,-0.10016720339482167
93,-0.34992738409433843
94,-0.026078041706960115
95,0.6571582788914162
96,0.2704379872998215
97,0.17484125505596182
98,0.052252081848553227
99,-0.005831389342716762
100,-0.38467309751108697
101,-0.44915741947264015
102,0.3701817585499991
103,-0.23632938922111946
104,0.3662411525141602
105,0.09991831773379369
106,0.36484491000420693
107,-0.5097946457113779
108,0.2719239657328091
109,0.052906334297044846
110,-0.5037403575449079
111,0.22450837225057527
112,0.4058421329039299
113,0.039025983276673934
114,-0.436727812865093
115,0.15155072924006546
116,0.6117808319942004
117,0.3384861602467811
118,-0.31447926409593774
119,0.04811220524009696
120,0.29844317776033036
121,0.2102576115445143
122,0.08180314040328879
123,-0.21551811100810808
124,0.38197240355803885
125,-0.2704002929503138
126,0.5327990595695353
127,-0.17503278806859918
128,0.2615532443454387
129,-0.3201634280300259
130,-0.09023740021741054
131,-0.33410172388439746
132,0.2611188437074606
133,0.16022947257746542
134,-0.280760586950516
135,-0.2569101455684789
136,-0.02600854979942475
137,-0.01948914434002046
138,-0.07886185596724428
139,0.658287420195983
140,-0.4691836445136909
