Dimension,EDI Score
0,0.3321895398923161
1,0.4656071001357957
2,0.11245228009883942
3,0.14445951868260465
4,0.36578449793303447
5,0.14753903257832682
6,0.14865687767575786
7,0.3730686792003848
8,0.07754354600666152
9,0.37495591733066846
10,0.1886270275139406
11,0.45402652486274664
12,0.24088519904475125
13,0.418227179883604
14,0.2016145020411806
15,0.6476573742532392
16,0.5495467371785218
17,0.11406462555256029
18,0.1313163081150855
19,0.08480736632200582
20,0.22349401324792367
21,0.13848295646157577
22,0.14652127764221434
23,0.29955307612207716
24,0.32797782498575695
25,0.5193584569408835
26,0.48863274864007905
27,0.4119846174250553
28,0.613801544028526
29,0.21663555295880882
30,0.5402795251425443
31,0.3890928331876548
32,0.06278362544552674
33,0.17684113218264458
34,0.4781036777203145
35,0.06908676223615604
36,0.3620408035872619
37,0.3644646994827939
38,0.1953657772418535
39,0.19127558935731137
40,0.44244279896470495
41,0.16060636252040555
42,0.5263172611208667
43,0.33186509472144676
44,0.1823709548572339
45,0.05936396048125947
46,0.18205381016097952
47,0.43018269662634373
48,0.4052024756024275
49,0.08729702214156229
50,0.3442676876163029
51,0.11752943594532883
52,0.24068962843558755
53,0.2205570910356253
54,0.05328454368150104
55,0.1554771299879368
56,0.3625208407858643
57,0.35125256105734853
58,0.17247151169322078
59,0.16819856810697872
60,0.5626404759137352
61,0.20093749633397315
62,0.5489584682856279
63,0.409927410288581
64,0.06545705876571306
65,0.3684872083392935
66,0.21373814738199062
67,0.19771587599394408
68,0.14424133353750068
69,0.46074202871599457
70,0.24217539398937904
71,0.07622216482664264
72,0.32820913220068615
73,0.3883696137269688
74,0.6100922132714623
75,0.14830693763327002
76,0.48651372977508606
77,0.14352173274515095
78,0.14552080105758092
79,0.10783980222613321
80,0.18851857983557496
81,0.3395736273588405
82,0.4798847872728357
83,0.23510578769696427
84,0.07790713528063929
85,0.39101560151480186
86,0.2708498799018142
87,0.17905668813844822
88,0.3163052206430902
89,0.1235152686001881
90,0.1381790803635471
91,0.27527929603706247
92,0.28835564732694197
93,0.35735847482969396
94,0.3298098713873086
95,0.5000994395537062
96,0.13203289777962057
97,0.22910937647201032
98,0.09714695442237266
99,0.37190033482566587
100,0.4614728272031018
101,0.21377799342321016
102,0.1942331788215928
103,0.1114990194232846
104,0.5193348210716199
105,0.10262614447888357
106,0.3792339951442875
107,0.5421008702970779
108,0.14110785905118617
109,0.1439811613963603
110,0.5037735851891811
111,0.4377761135513305
112,0.14525800576887107
113,0.42117029827671426
114,0.49115202119204643
115,0.1419126177766647
116,0.5161392058614208
117,0.406399636482321
118,0.1358075787725764
119,0.35632610789972535
120,0.20640975641707082
121,0.1825345232491108
122,0.16851867149572172
123,0.2327514294279804
124,0.2870966357073908
125,0.12697015655285482
126,0.49480635125655115
127,0.13359558321331844
128,0.16521143169486124
129,0.2508802789870184
130,0.3121875904769322
131,0.18906262424492903
132,0.42557168340089635
133,0.41630018226894133
134,0.25111880666142483
135,0.45938023056874383
136,0.323180257436551
137,0.02532545659346966
138,0.16363763298080436
139,0.6366687650633885
140,0.5328563685424186
141,0.2938786586637304
142,0.1725073520049235
143,0.25537162743559677
144,0.6420480749938454
145,0.5092554889472146
146,0.13810159267254798
147,0.4773518526851905
148,0.17747456793201039
149,0.23644420383257386
150,0.27296324848725206
151,0.2659384437046159
152,0.5141859249640026
153,0.1514823246906476
154,0.2066096048896442
155,0.21339299902908804
156,0.249760989415687
157,0.4907425674939946
158,0.3405259762022931
159,0.3727596909520461
160,0.2053821964175882
161,0.09728729511770849
162,0.41197127480791934
163,0.6176817994052847
164,0.10673953027336042
165,0.43976399405765604
166,0.29414280882580435
167,0.3950948094940666
168,0.1997633978892518
169,0.4513117530232041
170,0.4107552205122602
171,0.32785304777418894
172,0.4234624507303785
173,0.38947275370782225
174,0.4516418921914326
175,0.22611317310381235
176,0.5695002284836826
177,0.1843330002686146
178,0.4307397510447241
179,0.3454537432496751
180,0.7215437487289713
181,0.30131998014618644
182,0.4105382842016919
183,0.11753343224768253
184,0.178811529371778
185,0.10156585734904852
186,0.18287569443583376
187,0.14162572100241347
188,0.24671001162968628
189,0.07059837524619254
190,0.22376871480339366
191,0.490611816521254
192,0.29553843076216374
193,0.18401344260146527
194,0.4069137536578501
195,0.2321158070543719
196,0.146470915221476
197,0.27736186742042174
198,0.16725708999164632
199,0.2843087262650531
200,0.22158086205394917
201,0.19293580809457722
202,0.08328637322462201
203,0.3902891508608104
204,0.13644192336870245
205,0.535222749087442
206,0.16156221840117305
207,0.24291892324675776
208,0.2889877395216204
209,0.3866845305895087
210,0.1264253815918668
211,0.14675988458261105
212,0.14799099092022922
213,0.1658045014422036
214,0.42864255752913805
215,0.3289346463867184
216,0.08979150790703634
217,0.15783772571723106
218,0.08511320384729334
219,0.491945232305107
220,0.32757643081640286
221,0.08900012525415067
222,0.22381128093647543
223,0.3019272242328917
224,0.17936290445825961
225,0.16583329124301355
226,0.11665919115790155
227,0.2029631461258648
228,0.1503540816442966
229,0.15663319029897665
230,0.050656622274888555
231,0.4646549546061947
232,0.29472788791466875
233,0.06700999845183434
234,0.2490807863765345
235,0.15578957685214745
236,0.38430360258755897
237,0.3364444664704148
238,0.11092902823477382
239,0.08746843648232898
240,0.20507584758760375
241,0.5600003773141259
242,0.23258247241378
243,0.11663487770792169
244,0.1446020027554692
245,0.13114195557619224
246,0.4802933901615676
247,0.2700621185264615
248,0.1591005505735088
249,0.5424179905603195
250,0.08557639975558148
251,0.4421805251833131
252,0.36544084063874804
253,0.22141116224526175
254,0.5689034879802475
255,0.17310637591968708
256,0.06692260735236663
257,0.19918158852951925
258,0.08768886465581743
259,0.10189124608256533
260,0.13835146441579715
261,0.0904608241930958
262,0.4614135274099183
263,0.387282494446316
264,0.6408655561976887
265,0.16990622659582996
266,0.1672786378792353
267,0.22572959906369228
268,0.13186168929777944
269,0.6511074837866452
270,0.407464997441369
271,0.28709828705282064
272,0.17658299445715545
273,0.18109977756843296
274,0.48169428745475196
275,0.30961720363583195
276,0.24765283986957756
277,0.3510359193205711
278,0.14282736582309413
279,0.1523180084877531
280,0.22299402507105973
281,0.21331845012003448
282,0.06766557808074931
283,0.2042562869709743
284,0.4058412021003577
285,0.5119855188332415
286,0.06240053791423825
287,0.26847598049681043
288,0.1967909092949353
289,0.43918110227903856
290,0.15711579402005327
291,0.705819904623296
292,0.16505866426900323
293,0.11413037867795298
294,0.31150483144806823
295,0.18506321708228549
296,0.254306180416914
297,0.1414008134377435
298,0.13836093877692945
299,0.09511260484853654
300,0.12232763591104834
301,0.18533002102780663
302,0.23803335541716608
303,0.2095582117189235
304,0.34161441044451957
305,0.12431724348124858
306,0.6668171227059465
307,0.2304479074797653
308,0.39131880155897536
309,0.1160171183244433
310,0.2033469136317167
311,0.4237724633206197
312,0.22615560400408552
313,0.3083569831592314
314,0.14912842633404347
315,0.09059231727105058
316,0.16876509380010743
317,0.0647582184953919
318,0.1338681738865266
319,0.5931347012342145
320,0.4826980034707373
321,0.12112278220125075
322,0.15922065889491585
323,0.3851859522241553
324,0.2998955738091722
325,0.36231939511929756
326,0.2953630732563973
327,0.24219180382158417
328,0.26331432107613506
329,0.48024602883346057
330,0.5760490627835765
331,0.3721883522572371
332,0.4819666630903384
333,0.41843516273038744
334,0.4654884610748837
335,0.49570881806623657
336,0.12739627533764453
337,0.0759001801166024
338,0.1318482547138547
339,0.3565446970177493
340,0.5981542202694035
341,0.24681206291602958
342,0.189071590247742
343,0.3832144560023071
344,0.12598658582625483
345,0.437140197280844
346,0.28178551090908377
347,0.12470154087150465
348,0.08082554916417325
349,0.5112903126010485
350,0.15025129975987597
351,0.42743787925310384
352,0.39413696489489414
353,0.45912693150260003
354,0.39372224200744255
355,0.3507313012446278
356,0.38846188088195177
357,0.14995814498758925
358,0.16877867800851476
359,0.16938886561127547
360,0.06516596417646911
361,0.11745858584118543
362,0.08527262130724977
363,0.5592537995980056
364,0.16743560607764849
365,0.32643630724065964
366,0.13157738180485307
367,0.377476544409682
368,0.27520182618228317
369,0.13033198710858562
370,0.3959125748331905
371,0.39227682651928913
372,0.4735966558795604
373,0.41099869492628505
374,0.2634802399185369
375,0.33192340097628886
376,0.045002239685281734
377,0.3402884921813047
378,0.45697816527050233
379,0.2717704289807
380,0.16326757536941308
381,0.4350463829081408
382,0.354811979883936
383,0.32705840383062545
384,0.1495004444245154
385,0.45878208126640846
386,0.293594285761099
387,0.20570238283178527
388,0.14700448128153273
389,0.3592028406380508
390,0.18651869073859295
391,0.3186920252298001
392,0.13335512374783703
393,0.282186372286453
394,0.43146567364439625
395,0.11468019790855441
396,0.24224150493495064
397,0.3495700774478881
398,0.7298854257609706
399,0.21257230691466034
400,0.4773607339960114
401,0.09464492766483126
402,0.376264454634905
403,0.27054716353081487
