Dimension,Mean_Sentence1,Std_Sentence1,Mean_Sentence2,Std_Sentence2
1,0.22686983016862006,0.202600369449425,0.16368150509085913,0.20679555497573204
2,-0.11177686480404288,0.19420515363784407,-0.022201506891790967,0.18538283875654418
3,-0.07566751097430792,0.22049032926303477,-0.07572561474043202,0.22722596509468493
4,-0.04840879702414772,0.17329972276666297,-0.018966395630865985,0.19695569032543783
5,0.09819780623336088,0.22281192285444226,0.16260805520635663,0.22754042195983656
6,-0.31426664613420985,0.22156868198558424,-0.27886481936051627,0.22333410589530028
7,0.052298126452042015,0.18528154146549106,0.048788654556806935,0.18291869433164532
8,0.6668165257216607,0.2595075952846353,0.7595062241662672,0.26588176024786
9,0.19135617787190265,0.20240648142086698,0.1767177286241724,0.19340222094735815
10,-0.41612469606266766,0.21333246633964964,-0.3436443106442503,0.1996130932965526
11,0.10247120515524798,0.16792786514859548,0.14050719733086395,0.16607312919118303
12,-0.17802750320367988,0.19526893860452949,-0.29709108916008725,0.18923179452877745
13,0.038496137502357024,0.19484114794993884,0.08559494231834304,0.19061303005125688
14,0.30003169037744887,0.21322110893071086,0.40037705453632916,0.23422939311568006
15,-0.22470454601631806,0.20862743675513862,-0.19246534623238204,0.24126371794766602
16,0.22309715661943014,0.16928480081071998,0.3761479850455524,0.18223411042418938
17,0.17322346711337258,0.19888250742177513,0.06293595802404296,0.19902039012634043
18,-0.061303289029960045,0.18483974981857196,-0.058270379234638056,0.19505700514129357
19,0.05153070662156094,0.18205503444998464,0.08324409625269504,0.18288476956365352
20,0.1712536225533692,0.19489914727256016,0.16031782906483874,0.20455682373430228
21,0.09667200831500641,0.2400216797930406,0.03220563041366597,0.24002844899294754
22,-0.22564376995768895,0.19267974755253145,-0.24923167424882767,0.20015575997459623
23,-0.33118573990863953,0.15947777971336694,-0.36685730964563945,0.16865229011056349
24,0.39891970051401,0.2095296289659736,0.46125649315995004,0.21894888393157105
25,0.22012710056109017,0.1857369223709363,0.28452991585628373,0.19819266454059417
26,-0.006571228963337087,0.18414412836300909,-0.11772074078060021,0.2002176848310462
27,-0.14460041193101394,0.18696442280453562,-0.06758774662994398,0.21346814391328203
28,0.012672917777558303,0.19874427543975104,0.08473711450221195,0.22754065897061884
29,-0.12331037151890996,0.18800433761524096,0.013961147737030938,0.211463279565416
30,-0.05303510642640576,0.18434429078263584,-0.09873987161415305,0.1825888523511336
31,0.21918665446102095,0.18037354636486916,0.3281046882211401,0.1988342311837938
32,0.15556431326926173,0.1940181516579632,0.07757796222514801,0.20237446726051292
33,-0.2526819568060746,0.19320965265837495,-0.25232248759468984,0.1884935445682948
34,0.095040501981072,0.18738010257291668,0.06846815217398898,0.20056033530284464
35,0.02603411741068325,0.19362250447460141,0.13768259457123505,0.20226984816081836
36,-0.12546948991762316,0.17202020433851023,-0.10954948649643496,0.1879070488829676
37,0.1372902250606169,0.19115918690867306,0.06844894834655527,0.1931468115401478
38,0.02166563460084599,0.19009160478945172,-0.055219316251127026,0.1835463839722549
39,-0.42228106922459957,0.16824450559102946,-0.46310172698676977,0.17747156926433227
40,0.06430045919450611,0.21019865118547515,0.07556300619248008,0.20211618911854767
41,-0.2721410625174871,0.18592038685064524,-0.3596022586971601,0.202467542907588
42,-0.20857664445989182,0.1963291545920208,-0.1743118101517907,0.2103614240318086
43,0.12274596237693904,0.225065850340438,0.24568883464014568,0.2373621863298365
44,0.02285313397842198,0.19028385570694947,0.07784134226862904,0.20036033459370653
45,0.09364326493661203,0.2015899803147118,0.07427253810433192,0.21167409692306216
46,-0.38873411392306456,0.2101512345409765,-0.4000644228214802,0.21537569049084831
47,0.096530218294148,0.25901570036639954,0.081660493452386,0.26780341137080577
48,-0.15487051744963476,0.17877618710004234,-0.09409829777974392,0.1870171450628844
49,0.045624554317831974,0.22667740565069947,0.12011124038536801,0.23785653510730803
50,-0.1955109087615942,0.20545998865165788,-0.20867039495794273,0.2192217758102272
51,-0.18306915535213963,0.18580359809801755,-0.12504153846243715,0.1914957457419277
52,0.06889952241607489,0.21484558457449726,0.09924082868833903,0.21596229546910573
53,0.056897951875424076,0.23745914997135614,0.04848047491670801,0.2559045453828427
54,0.23112950891070003,0.20577779343989183,0.18195173325404038,0.20800341572173578
55,0.13045519347059206,0.18532809176212653,0.14383293963454286,0.19245617886395675
56,0.5736036938959599,0.24290550984782744,0.6147772399889,0.2320825250372944
57,-0.25638302126060186,0.1962356949725332,-0.3329584312479218,0.21435860502365425
58,-0.17468182547042302,0.21027900695731155,-0.25361247709300394,0.21662619771065877
59,-0.14378701657692744,0.1580136909798707,-0.17014550563231184,0.1691830819234293
60,-0.018546889882049996,0.18973997370485932,0.004873386848196018,0.19542817729806697
61,0.12301363486586168,0.21398491225464406,0.25277611139003003,0.24802451101521256
62,0.015912775224313978,0.22601634905276483,-0.028253877898848586,0.22329258020485815
63,0.18752303818850333,0.18467053226258354,0.06516746094504698,0.18649239700180417
64,-0.4067802040001902,0.2110811665882715,-0.49159496596561975,0.21080389723092896
65,0.1747217089934593,0.19333001961655333,0.17010033258334542,0.20156664527323892
66,0.32559815067663195,0.184786063485878,0.3767287081894602,0.18009606827927932
67,-0.05619102295523496,0.207396851348016,-0.035871936766999984,0.19163576341346392
68,0.041356941791446,0.22736446270088445,0.08522381608616549,0.23094870297275055
69,-0.27977730677056284,0.21400921092556371,-0.30125175346386934,0.22037666558214683
70,0.03596389993965693,0.19195100184260958,-0.05486248323067123,0.19960550286995812
71,-0.3515496199223699,0.1976076304100341,-0.3046515857779095,0.19436873544977087
72,-0.3296795650517621,0.20009981977293667,-0.3436458089144425,0.20120686277923208
73,0.16620443340067392,0.18213717215330252,0.11701711721015198,0.17959707291713647
