Dimension,EDI Score
0,0.3747430190491605
1,0.20786823605581461
2,0.11263882885195131
3,0.20754956215629747
4,0.2007842660938302
5,0.3723993294337019
6,0.17395153637784164
7,0.14009484543862716
8,0.5888278063000942
9,0.30876331931216106
10,0.12116469618479939
11,0.21734771203256392
12,0.2859685629925617
13,0.15617052788151362
14,0.37304616489293363
15,0.4729974804277398
16,0.21135420646559125
17,0.41504420332221964
18,0.35254584073905676
19,0.09668656578876336
20,0.2511449414596777
21,0.2761814174563783
22,0.35548106532364576
23,0.3542332508432727
24,0.09286500872526865
25,0.3912796159108156
26,0.08601790373818699
27,0.484403228668766
28,0.11799958411027123
29,0.12865725715402168
30,0.33909921571150115
31,0.3668493807379088
32,0.4949577125158376
33,0.5095571512499942
34,0.2607600868351172
35,0.050699219602429
36,0.14817747438560247
37,0.42840117032326586
38,0.07289447673701467
39,0.10384295069457489
40,0.5432049187594613
41,0.4103479942483055
42,0.47579870058283885
43,0.41889804491740784
44,0.28601091895727515
45,0.087596667341447
46,0.24607660657348956
47,0.07488333712014834
48,0.11099487888739953
49,0.1705049440204428
50,0.2784376964367304
51,0.24805816721558804
52,0.37693706166092733
53,0.1661428799818829
54,0.25465280251169314
55,0.38111221903146314
56,0.13807976809601968
57,0.45738093524930945
58,0.13420085702511314
59,0.33306281556908096
60,0.2818830301136447
61,0.32932136222969294
62,0.2850544751751154
63,0.3558619272790783
64,0.10249758095042437
65,0.12421222607517836
66,0.4715356781253845
67,0.147508356237269
68,0.6722744626497762
69,0.12538795419585752
70,0.3660411504741228
71,0.2951464496568766
72,0.31000091816255326
73,0.17177434809528344
74,0.33407123675373185
75,0.7428647305158915
76,0.13625949047636274
77,0.32625591798170067
78,0.08013704324918959
79,0.2532666173219787
80,0.2800769391802383
81,0.3648161310130037
82,0.383370967112106
83,0.4050159422209296
84,0.5350217359766212
85,0.10559004377012426
86,0.060699083219076744
87,0.42280791460974254
88,0.24273624300349328
89,0.4750663263275916
90,0.3408417252156024
