Dimension,Weight
0,-0.38127617342242476
1,-0.7645892575395017
2,0.2982888084316361
3,0.5574193182640743
4,0.5093310032980557
5,-0.5632316336543811
6,0.5479253498862913
7,0.7294190847573957
8,0.6734826426128491
9,-0.25430193315857125
10,-0.25185126428070465
11,0.40167051505223733
12,-0.07080533288569814
13,0.45521631684367253
14,0.04001758001027916
15,-0.4336981203293805
16,-0.6382277580158662
17,0.4714065546475406
18,-0.06859680841322091
19,-0.3537071456683786
20,0.11724484360709508
21,-0.5293496768874075
22,0.5760698669603602
23,0.3207556249369618
24,0.039226562453714094
25,-0.1599406289690598
26,0.9061113435700212
27,0.08406583244631459
28,-0.1908510979786117
29,-0.13814316479787309
30,-0.8009984018120916
31,0.6674583439024858
32,0.19125883133684957
33,-0.7245277930671831
34,0.39767634448865313
35,-0.19138786265928706
36,-0.1599044256306533
37,-0.4350564623333737
38,0.1825551135447778
39,-0.6815392505252644
40,-0.35280214743213795
41,-0.1365353621317108
42,-0.38320362985421225
43,0.16148832516187123
44,0.12069510331359096
45,-0.44241167286637567
46,0.49501882196250707
47,0.7995052017624948
48,-0.3983718008206177
49,0.9996149225894743
50,0.020888193632089307
51,-0.08107551414516248
52,-0.31936266426295895
53,0.09198323205885875
54,0.3477860284319945
55,-0.46018298357211845
56,-1.0647504838393342
57,-0.07774289408434955
58,0.039814629135252154
59,0.5882205023851325
60,0.06876766769021402
61,-0.44713728779336015
62,-0.772956368343477
63,-0.6109873656429711
64,-0.3194973877600762
65,-0.9197050351510633
66,-0.2079570123479684
67,-0.4403560959481929
68,0.13278380710744422
69,0.3736479417076607
70,-0.19329418614034208
71,-0.1616063695415606
72,0.09038069588467425
73,-0.5290269765395745
74,-0.7678018440299428
75,0.5581479170472605
76,-0.20282618195854102
77,0.22738133317405188
78,-0.36878446168565854
79,0.1966554672255156
80,0.6717582682145197
81,-0.0558732267792707
82,-0.1538779284914519
83,0.056795535529848916
84,-0.5236942608750733
85,-0.059038378074657026
86,-0.4244737959539729
87,1.2097821348266065
88,0.7996118826247489
89,0.25730663826096745
90,-0.2854143000024194
91,-1.092450935755868
92,-0.348565115378318
93,-0.5620649522540668
94,-0.8954244365600965
95,-1.113956735423599
96,-0.05295052471325838
97,0.7608200969786534
98,-0.4124454699086209
99,0.5446657251750016
100,-1.251393402450323
101,0.033227552031076926
102,-0.02888253078021616
103,-0.3799388210407752
104,-0.545625632476269
105,-0.7420100755635869
106,0.2625786508620778
107,0.3029595105405893
108,-0.979574676340803
109,0.19085726376771228
110,0.6490641872312696
111,-0.4287310535650947
112,0.3469546755750261
113,0.10856173977365081
114,0.17662210155051286
115,-0.5451987751601713
116,0.34313642324784976
117,-0.13114281292969338
118,-0.45814031167309843
119,0.4390890948993008
120,0.943261141864441
121,0.4893610955222352
122,0.4204523853960973
123,0.21046378224260662
124,0.0613080538897035
125,-0.7308023222988891
126,0.8776064695258591
127,0.08758223017539857
128,-0.8928411096697622
129,-0.3738609355174749
130,0.6770504335507769
131,0.46298948751472807
132,-0.20938790401002885
133,0.5235671996449197
134,1.0007880175688786
135,0.14503113958661318
136,0.33663960341867755
137,-0.041347999642574726
138,0.3655349359311772
139,-0.7630431609229127
140,-0.08529336850521156
141,0.36427867043277573
142,-0.6040675717740829
143,1.316420173733515
144,0.17179179647792805
145,-0.5808889817384988
146,0.5461181378909908
147,0.26976538939718053
148,-0.3655573188339357
149,0.2363711572820654
150,0.8889031155642805
151,-0.029732350682814834
152,-0.09188399837806602
153,-0.39477421843108645
154,0.3659886935125928
155,0.42817659654054896
156,-0.0036711980263354955
157,0.254882446829027
158,-0.022423650691095046
159,-0.27798774731256104
160,-0.054001671801285366
161,-0.10913426655466067
162,-0.27229239270854866
163,0.2758427791767497
164,0.02329900202679975
165,-0.13679553993687088
166,0.35025780075584817
167,-0.3991767132465783
168,-0.5445103462823851
169,0.18993257353161924
170,-0.41551476686873334
171,0.06690548507618391
172,0.2740614082996276
173,0.2199174749634277
174,0.42242891155073214
175,-0.892525278396687
176,-0.08708765796133407
177,-0.8639204303252218
178,0.3789024991946785
179,0.2561486998511451
180,0.1104476594248654
181,-0.34397914138990643
182,-0.6018200299525622
183,-0.6903175663905503
184,-0.5311220451524101
185,-0.1864946317982037
186,-0.4039746363516179
187,0.007135901294354238
188,0.3203981511708524
189,0.3263659209151238
190,-0.10238607339053603
191,-0.9835491514652676
192,-0.30568390119942407
193,0.2991098333149323
194,0.36756131761509314
195,-0.41069775784150364
196,0.06805377743323221
197,0.7421954091968749
198,0.5149437298523639
199,0.05487313719207797
200,-0.6918601823340188
201,-0.40724742468850134
202,-0.47695068074360997
203,-0.7955650377390243
204,-0.14383138081406896
205,1.006551045681023
206,-0.03658527349565761
207,-0.6058167659787765
208,-0.10153368860612409
209,-0.07428585263178931
210,-0.7782851260721266
211,0.10488152618366035
212,0.22410377009576443
213,-1.0694020009911962
214,0.12398618464587882
215,-0.2505094764472251
216,-0.7760175359845739
217,-0.2311012545510571
218,-1.0866819283264764
219,0.0977966939285493
220,-0.5415340368840514
221,0.2261234341198298
222,-0.46256704776173807
223,0.6020341259378215
224,0.06470712326983583
225,0.44382602740049326
226,0.3351653625588456
227,-0.4929827949572594
228,0.6964516112672089
229,0.46118231509716173
230,0.34919648753441296
231,-0.22714021158588904
232,0.29567984222116883
233,0.10829369289762375
234,0.012826485824324203
235,-0.18025433172939345
236,0.08349338366750937
237,0.09677176256136621
238,0.09754315173319478
239,-0.5924225688897745
240,-1.0810673012156302
241,0.022260791153522228
242,0.5362399535067928
243,-0.07407213588790057
244,-0.615050818927321
245,0.30474064560170244
246,-0.130534854831716
247,-0.04932294856409963
248,0.2735110876809474
249,-0.7563024776540753
250,-0.8150487505751902
251,-0.6653489447523215
252,-0.1185898375811265
253,0.024476861248161595
254,-0.4217707350451946
255,0.1321356304906715
256,-0.3237680850322058
257,0.2657834148921167
258,0.7032178799121115
259,0.19909662192590918
260,-1.1009072987541022
261,0.5156682475725338
262,0.6573317242092067
263,0.7370466669982926
264,0.7979605732194212
265,-0.44488878139284543
266,-0.06828148190545202
267,-0.3973408594502715
268,0.4813967276954355
269,0.9975424920939229
270,-0.023357689848711383
271,-0.7328251806308499
272,0.774286033015253
273,-0.4631313182258708
274,0.6717505382702283
275,-0.13142541250959355
276,0.1737265117620926
277,-0.34090848362812004
278,-0.24501426804534093
279,-0.26059340142633397
280,0.7563910375818236
281,0.40635766196521106
282,0.16739677570256425
283,-0.2131409338965315
284,-1.0231356936625902
285,0.6227424546229235
286,0.044641901847830366
287,-0.32526657158687994
288,-0.8363474291821882
289,-0.5704858005065688
290,0.18995312617767918
291,-0.20958012669822182
292,-0.41824514296083704
293,-0.19588863295824732
294,0.04968411528729841
295,0.19384525524815852
296,0.7530339555913841
297,0.5919927222214203
298,0.1713669317344237
299,-0.252670075218014
300,0.08522417418825273
301,0.39513917009876265
302,-0.3897311675210449
303,-0.22951899054477382
304,-0.7027957835640566
305,-0.08748164285794088
306,0.16874348486837842
307,0.025061515305402345
308,0.4157970290445448
309,-0.30198808124122506
310,0.5065089038538338
311,0.6879206575217832
312,0.03335838686907787
313,0.43642531517797517
314,-0.44214867556910664
315,0.5026024945837739
316,-1.065611286649292
317,-0.36503334113020613
318,-0.17306979787429871
319,-0.1906127693079666
320,0.1309167693575448
321,0.9237947673153534
322,-0.019244271803836963
323,0.1715731250930997
324,-0.9494720867714279
325,-0.39753020713942766
326,0.5887729553055265
327,0.7529746166586444
328,0.4720542308048418
329,0.08544463061168359
330,0.4286877872785093
331,-1.0721718492688903
332,-0.36465031306337004
333,-0.7098218056914397
334,-1.10338438786594
335,0.6267358152730998
336,0.8358546701042863
337,0.15624378728254998
338,-0.5654115159182236
339,0.1031566683055095
340,0.44622835959094564
341,-0.7860427007052483
342,0.1638713775405203
343,-0.19115555338248685
344,0.14097284951856603
345,0.8526859113517142
346,0.29436633971613174
347,-0.15876058199155849
348,0.5186859561042447
349,0.19853287270853437
350,0.8502177777029218
351,0.01565946003881324
352,0.2570820587251171
353,-0.12394874132214768
354,0.6344837675397591
355,-0.07700701668464686
356,0.23236238919774593
357,-0.4666359497115213
358,0.49350603684285643
359,0.535194558254869
360,-0.2820209024335609
361,0.21138339443159845
362,0.7148705358584955
363,-1.1853712792564968
364,-0.1845218125402916
365,-0.09380664945603556
366,0.2208129907740804
367,0.9526992901846754
368,-0.18305298379333182
369,0.15033860271795127
370,-0.20955771711878668
371,0.4306748665814349
372,0.1890794862527003
373,-0.5276172481361892
374,-0.05475155566483661
375,-0.2645118342611853
376,0.6174658764531037
377,-0.5903126670114479
378,-0.3792651270266613
379,-0.0047631752065117935
380,0.6014485390410444
381,-0.8839646665155656
382,-0.8273692589954539
383,-0.168218626759672
384,0.006260968470169518
385,-0.042033320780447164
386,0.02814520735788626
387,0.03877185271173207
388,0.10876204347987753
389,0.1879246530542865
390,0.5019191282755804
391,0.22810999594490655
392,0.9814158845378184
393,-1.0808962992283655
394,0.8912246005750124
395,-0.5723735789733297
396,0.5542534030960455
397,-0.9969812528527108
398,-0.14306423895794534
399,-0.16238482676335797
400,0.25065446921967627
401,0.02367937191091651
402,0.028214524362293453
403,-0.6259532312040741
404,1.2213044266006265
405,-0.851378942676007
406,1.0832137423069528
407,0.4334917541694677
408,-0.19768268013471482
409,-0.40658366810500235
410,-1.1199833442009692
411,0.5875530099745024
412,-0.05014278689589948
413,0.5965553012146422
414,0.44669082465180493
415,-0.23989686296977436
416,0.6814161639984749
417,-0.1574091275122196
418,-0.07194872435660514
419,1.232308266820807
420,0.2623246114397389
421,0.31134519865429516
422,0.38506525440615
423,0.7429658786496645
424,0.6897673362358024
425,-0.23883625249591173
426,-0.410021038850179
427,-0.00478125814785363
428,-0.06943094424410215
429,-0.17748037140180645
430,0.1560378749403482
431,-0.050812354921659864
432,0.33008493731038047
433,-0.3212685625836687
434,-1.2889192520223056
435,-0.008257575318886073
436,0.6785784869076719
437,-0.8037264847750774
438,0.6038440705463177
439,-0.8398247320987914
440,-0.6481217350562677
