Dimension,Mutual_Information
1,0.04742308988753452
2,0.0011318317182362407
3,0.015113508571558763
4,0.0068135216496161485
5,0.0045217424044434115
6,0.007596482857806057
7,0.00418084826666517
8,0.013513427291757411
9,0.022677017802028104
10,0.022667058191841012
11,0.016519240719479557
12,0.020101594185783604
13,0.006524215970388041
14,0.00142943979370793
15,0.001948210482694411
16,0.010689506691332
17,0.037867897242638296
18,0.006137895983119715
19,0.015910912527030745
20,0.02124685450612441
21,0.013548759308314666
22,0.016520106072050088
23,0.002385335538955334
24,0.002928233405410284
25,0.005270787106400894
26,0.008144727238534995
27,0.05295415150451103
28,0.08356584067475212
29,0.06056011242378421
30,0.006932404897579285
31,0.046257674819884506
32,0.004701622917328577
33,0.0037067498672436958
34,0.033769225715122794
35,0.009173207761121814
36,0.006606978957704034
37,0.006712359159916269
38,0.001920928490372835
39,0.049971149291266
40,0.0030985247223384235
41,0.005293380144199118
42,0.00229966099949052
43,0.02357225559895989
44,0.014186788976305355
45,0.010164882336972332
46,0.0037197374844730384
47,0.00567958504828215
48,0.002926440158989955
49,0.0072974310358667124
50,0.010100881682338449
51,0.020576349866705555
52,0.004105199950697018
53,0.0044931948974345146
54,0.0021136920498514215
55,0.010921381348806027
56,0.003165462921197563
57,0.037481294015593844
58,0.010600226455491184
59,0.0027992880680615326
60,0.008321398801624198
61,0.005193802002364099
62,0.005593486554303688
63,0.013053405504513997
64,0.009360315433852608
65,0.009950541855585186
66,0.00916290925712613
67,0.026787097326064678
68,0.03211038471881781
69,0.010937555362874489
70,0.009854418884647713
71,0.07883601903640611
72,0.010696145574961978
73,0.006720619722152037
74,0.03676335733502139
75,0.02746203461491057
76,0.004294825158470787
77,0.03430822634185408
78,0.007199626571815436
79,0.041458379172128614
80,0.020866222131744223
81,0.02235316133664516
82,0.027345614303663744
83,0.0024739594570987104
84,0.00517524350484113
85,0.013073865437753691
86,0.0036699336431089066
87,0.013809877840395647
88,0.025201667043545116
89,0.012039778226786077
90,0.009810250453475299
91,0.04593972155156662
92,0.005414036519238739
93,0.007923869024182705
94,0.01917073195510329
95,0.009526829902775723
96,0.03685149737040358
97,0.009948969983290028
98,0.050239541778487155
99,0.008674783141864005
100,0.002662962275759399
101,0.012182133638807026
102,0.007592118484384382
103,0.01349447757635646
104,0.011081704786216347
105,0.011361980942661672
106,0.0029313679043315097
107,0.0039065704301547086
108,0.0033262784451488707
109,0.0021564874232963475
110,0.011367692181540635
111,0.0018496243024179945
112,0.05968164314224716
113,0.004909110027405537
114,0.008603066691945209
115,0.0023411925043117436
116,0.0010145697742014112
117,0.0013389201073958283
118,0.021344626689790834
119,0.004844324904349655
120,0.012710344725753754
121,0.007135574854677688
122,0.050984224517552044
123,0.0014339578274347661
124,0.03556671225957804
125,0.035294586081955424
126,0.021466063054426603
127,0.024532207780184327
128,0.040180791796215455
129,0.004142777821721393
130,0.007956321756267044
131,0.015081538078269834
132,0.07663609101695451
133,0.004765445272766587
134,0.015026627214496026
135,0.009669964138855618
136,0.006801645173206354
137,0.016215611275533955
138,0.009549400551760547
139,0.0009289791395480011
140,0.002225900981552113
141,0.06801023873837106
142,0.039465444870627905
143,0.0329069967379676
144,0.0036308475368025043
145,0.04090194830821259
146,0.017401163828163986
147,0.03283305150462951
148,0.011404382017249325
149,0.005354520831104097
150,0.004076339285211221
151,0.013789984962322026
152,0.00993997745253545
153,0.010219253305181884
154,0.04958336475276811
155,0.025316325958300044
156,0.037963125475238294
157,0.019062057223572425
158,0.009220162987758664
159,0.07238784106483051
160,0.002360187706286841
161,0.029294033062605425
162,0.026165515014561803
163,0.0031410043265014797
164,0.009932090874848275
165,0.004677209789469582
166,0.008075229829719581
167,0.01447931355635499
168,0.004821736430133276
169,0.010710102567321987
170,0.002978895520546774
171,0.0019472795956629527
172,0.022116982839976464
173,0.04341205753954163
174,0.025599434103783937
175,0.002976858332935671
176,0.04712360473935266
177,0.02742092461088822
178,0.0011953434493141217
179,0.0026206672442269496
180,0.07286980604618229
181,0.07297030929725298
182,0.01773438664148822
183,0.00921891295222315
184,0.005441334203662017
185,0.01538965733825872
186,0.001420717821922483
187,0.03303555840161822
188,0.01524375256902871
189,0.0038924951449059927
190,0.00636347836493522
191,0.01214180007045685
192,0.007616000645903516
193,0.014790011865788912
194,0.0035040680131982124
195,0.01029456746226317
196,0.009145076986563049
197,0.004434869448428379
198,0.0032049462870964926
199,0.001788941428895706
200,0.033986293725259666
201,0.0033142803804944647
202,0.006352704961654597
203,0.009301223282660344
204,0.005243445064435269
205,0.005437574397983945
206,0.03454166891120175
207,0.03310265504847195
208,0.010810300086437956
209,0.004787627978564073
210,0.0040186521428110175
211,0.014875577723245235
212,0.0021503324197362987
213,0.021773699981536783
214,0.03716593014048773
215,0.008398308303608763
216,0.004012011633234745
217,0.004048590127478678
218,0.005289666032097871
219,0.007348405893899228
220,0.0015451681067938303
221,0.009320658388007545
222,0.010844668759490299
223,0.06439057703919558
224,0.016912687632355018
225,0.00897467607975997
226,0.0035367267404539313
227,0.005398309521356885
228,0.0026588496350597388
229,0.013101039941769595
230,0.019127335903693206
231,0.0028961301957031657
232,0.0033430027703437097
233,0.0019340137213295291
234,0.0055906147713355794
235,0.0056242541342110056
236,0.010377042895302939
237,0.02874081964064607
238,0.01685470529521068
239,0.004307503015343071
240,0.0034963730736603457
241,0.006517857202977394
242,0.03828051732850988
243,0.0159872677683369
244,0.004248154686853627
245,0.023680878333430418
246,0.007924101746058225
247,0.02261587832292051
248,0.04517497756447849
249,0.015118753112965837
250,0.008558385334063605
251,0.011895894463961422
252,0.0024012712950840435
253,0.016085463196074408
254,0.002779075114810424
255,0.017296326231329658
256,0.0033458343690814444
257,0.004465005485257488
258,0.049963218916930674
259,0.0043730970774943576
260,0.012447843532587481
261,0.005251845469923015
262,0.001978352575570961
263,0.0600419959401403
264,0.0023863734408368846
265,0.024051497841449297
266,0.0025208280181325464
267,0.011810533751705536
268,0.03325910745375027
269,0.006787046688086461
270,0.005241954292557492
271,0.0037645950086788653
272,0.00537559750171359
273,0.009680095614618293
274,0.005040866169392526
275,0.009796027525929195
276,0.0024196317783979834
277,0.0016724906564636803
278,0.011291466331580062
279,0.02482000631662694
280,0.00806412429465863
281,0.0033665238522474147
282,0.0032144009855823645
283,0.00505502503791843
284,0.003244268969376067
285,0.002662062024434801
286,0.05278736918836734
287,0.06112549295292816
288,0.012719941393266966
289,0.004883266770218463
290,0.0014294959633893915
291,0.003947175245645411
292,0.010942989433128957
293,0.013141418873393033
294,0.006679577985051498
295,0.0217623653775113
296,0.0009901877836756483
297,0.05120076697944963
298,0.00702659930980621
299,0.006681254578747568
300,0.005371038904302287
301,0.0031561649187919687
302,0.021828427693502274
303,0.003724403711109984
304,0.00599994494532103
305,0.0167430127606358
306,0.010214046884255513
307,0.013958853764023567
308,0.02323343587741971
309,0.06182879998150366
310,0.008542073744027108
311,0.00888200077803896
312,0.00425360882895081
313,0.0035389433994550343
314,0.003869843463096788
315,0.01626311059099004
316,0.03853380010769028
317,0.004590583331608715
318,0.026784261383733084
319,0.027894992692803704
320,0.00719639714699688
321,0.00545606860876862
322,0.002672074626982261
323,0.007691558823523285
324,0.028818882378061343
325,0.0058985564867648985
326,0.005578025085411463
327,0.005107629941156204
328,0.02037330089596929
329,0.016918914897295072
330,0.027266440940092722
331,0.003222452865471785
332,0.003747553257644163
333,0.027921513467376362
334,0.013186555282515187
335,0.014660857328370226
336,0.0026976187589488536
337,0.018307710457892735
338,0.0025092171827708273
339,0.002637389029592811
340,0.06745614524503328
341,0.006460449688511914
342,0.0050111763961006375
343,0.030335737143079293
344,0.008634075684498775
345,0.049407998645053776
346,0.00434532503463058
347,0.022152475012992327
348,0.0014251796129409397
349,0.0041384837614720435
350,0.013193512395551547
351,0.002141508434497556
352,0.06086982293791664
353,0.006066064774317391
354,0.0045337843577152245
355,0.006858355020293243
356,0.0021960251762353153
357,0.001667522332598169
358,0.010660538813674132
359,0.02491537004062295
360,0.015819847434806945
361,0.011829621714585452
362,0.01050646740314879
363,0.0016921004407309185
364,0.00390071914454667
365,0.002882227946849662
366,0.008379214207942152
367,0.014595835901347491
368,0.009944329455075333
369,0.011829852543392742
370,0.0025249248774109265
371,0.03220185374430155
372,0.027469890082774256
373,0.00856842719490316
374,0.011641298545475832
375,0.004012945975146752
376,0.0034892956351357733
377,0.0030787835150585456
378,0.050108690486682365
379,0.07495088976457072
380,0.012746977547086154
381,0.001598879408372326
382,0.004490867726607582
383,0.0044701448042998235
384,0.0038284366089357184
385,0.00923150468382191
386,0.050617273490779165
387,0.016356592910797392
388,0.009821446434288138
389,0.024803239964843668
390,0.009202222575206052
391,0.004316715996301783
392,0.0302229790559096
393,0.013003644423548656
394,0.014632699324597355
395,0.0014066211994304342
396,0.029684881201857118
397,0.015987624411295122
398,0.0030644612341087433
399,0.018494477111812506
400,0.0053563224497663806
401,0.03652175608016394
402,0.0019194278958556063
403,0.010200050499941778
404,0.0021195719223944735
405,0.01275177705299161
406,0.0013053809640027267
407,0.006573737284138258
408,0.0049984493848416675
409,0.01891733501090862
410,0.009507986803664846
411,0.0025857754857118095
412,0.000942392122042827
413,0.002882501371683825
414,0.005388079486686702
415,0.006969534338223275
416,0.003380889753563036
417,0.004381650124004667
418,0.006994207594252809
419,0.0026451257458965298
420,0.009253697946273072
421,0.0033480854184218464
422,0.007264693070255089
423,0.03577807030291553
424,0.010397254893329343
425,0.02591023246680387
426,0.0031848360137239555
427,0.008134096989501259
428,0.0447893459679796
429,0.024341532078955973
430,0.008591260822227172
431,0.01355298808707469
432,0.01832694071803876
433,0.01720957650710065
434,0.04959975411996586
435,0.037137057764527207
436,0.010334045726592543
437,0.0020350037075671993
438,0.0026268243228514884
439,0.0038370008396053853
440,0.02957542227897269
441,0.01256131924066966
442,0.002382964178947254
443,0.0028828231858935224
444,0.01253593009543693
445,0.006480599046457612
446,0.0029513461116914483
447,0.005438181904503701
448,0.05640966431029659
449,0.0021116477806425935
450,0.022274342355852565
451,0.0022342417271219647
452,0.006728033995334191
453,0.02620502197118916
454,0.004346409498428676
455,0.032554841395651395
456,0.0292874053340048
457,0.0026608174299625684
458,0.04432455139102183
459,0.017503724703747843
460,0.028955602676184827
461,0.012241172635344182
462,0.0048614407544455215
463,0.0029328546363709893
464,0.005550500550463154
465,0.01336739026796873
466,0.005033125833290429
467,0.010015182777431873
468,0.07134719893326034
469,0.0026893346300465235
470,0.0060252347582102
471,0.0023315236181939074
472,0.01651741383582884
473,0.003861780856324208
474,0.004524034854460089
475,0.005615531819953605
476,0.003075633661382658
477,0.041306174027810484
478,0.009033615743639638
479,0.001874595497106328
480,0.00146046612587216
481,0.007951663211142247
482,0.004870475159143399
483,0.002514342600361451
484,0.006272317097797568
485,0.002836064565108563
486,0.02116758021247917
487,0.0540280394640122
488,0.0034019719983617233
489,0.00509467323371441
490,0.003856467757495645
491,0.004700187678439681
492,0.019427781215984728
493,0.002880239856282766
494,0.004151989822849582
495,0.0027610430307967657
496,0.004196720744320918
497,0.007885391193366335
498,0.002226580116117947
499,0.00452475231057755
500,0.03829168399394988
501,0.0038570836272486457
502,0.009520090565823104
503,0.009412012685480552
504,0.0033125187162533973
505,0.007858732689379054
506,0.009202988431422247
507,0.013370943284623231
508,0.006545524622429431
509,0.0020789380469880474
510,0.012203832808486283
511,0.001994079020596666
512,0.010055671284484376
513,0.011041391610984087
514,0.0049250737347214454
515,0.0073389959109981875
516,0.004139797682996292
517,0.012607094944890047
518,0.0007800218137697583
519,0.0036720367226185306
520,0.00896575296187272
521,0.011905201781697995
522,0.054882355084666413
523,0.029307605909053014
524,0.08838732402648812
525,0.0022822783327696365
526,0.035529392067126596
527,0.004083734039311553
528,0.0025072947576807374
529,0.00962412013608887
530,0.00611174395916949
531,0.0011991858892335043
532,0.03641681118945777
533,0.00350428001781055
534,0.002189608392494956
535,0.10358898823543146
536,0.004971211255135326
537,0.007683241867791825
538,0.003290064493603049
539,0.005959681244988503
540,0.019817180147834255
541,0.03988944566643381
542,0.0073919201475784665
543,0.035096743992626814
544,0.009780591043715724
545,0.03368187750611991
546,0.0154467380901998
547,0.03264827998907765
548,0.024070213389833374
549,0.0017988337764961375
550,0.013102961755757349
551,0.006871975749821686
552,0.0041299357437334025
553,0.0012672818507821408
554,0.009847982761404105
555,0.0038415803930867617
556,0.0036852268666979146
557,0.005392039606977254
558,0.0020569343909386736
559,0.005902850314317205
560,0.005988932733502587
561,0.007001757630269494
562,0.011440086404571968
563,0.005063783686402472
564,0.01518149072451342
565,0.004754696724230005
566,0.03186644579596388
567,0.005971863805156512
568,0.002315756895160302
569,0.06112729198108513
570,0.0009109486745779087
571,0.0031163334586761997
572,0.00858844233389474
573,0.016293546538133342
574,0.0022320541285538657
575,0.009625799366620079
576,0.008755979390994107
577,0.057457372897281284
578,0.0015235967211981098
579,0.006429975438104273
580,0.004331562085197964
581,0.006555663851118755
582,0.003557874581778968
583,0.020132678941940284
584,0.011098081737016756
585,0.009438122734106165
586,0.0522854880891632
587,0.0033357787318455054
588,0.006856020240360174
589,0.016579912313704585
590,0.01490676502632176
591,0.01720046209139634
592,0.008798586791971312
593,0.004155586671129689
594,0.005355721556005354
595,0.023429928345246286
596,0.06129536583944967
597,0.03086423836338078
598,0.002414524658298465
599,0.006402070859535057
600,0.006908491816064823
601,0.005233522025822217
602,0.011496554633109786
603,0.006282098481026864
604,0.0031263069852850087
605,0.0023853395879363734
606,0.007518206145565233
607,0.008552139170121938
608,0.007380630225227329
609,0.011092658049092714
610,0.013069959961332513
611,0.0030575538347289086
612,0.0067889646587126415
613,0.012310627850652962
614,0.00983916966763995
615,0.010881867434157914
616,0.0023360786602974123
617,0.0038123013093087008
618,0.03379674183843505
619,0.01985440181898753
620,0.01599241493544331
621,0.009080984031020166
622,0.0018517507864084445
623,0.0027032245429948684
624,0.024372779802603377
625,0.003970119694019385
626,0.004050146172434176
627,0.01363465710905435
628,0.005420391354185171
629,0.0024327897615861946
630,0.024291019446102645
631,0.006858004107607056
632,0.010767672784776992
633,0.02491750058594771
634,0.03556584405741964
635,0.014411444048562254
636,0.0020974056335619704
637,0.006858756186415078
638,0.0032509684793317825
639,0.004752858937327235
640,0.0021859759609603943
641,0.006611103626739355
642,0.015374970838853495
643,0.004921150229895081
644,0.004250576464277782
645,0.0032282816000732332
646,0.011557634108993554
647,0.002491369619121268
648,0.004455213292020831
649,0.0031864697845762
650,0.009957844398618708
651,0.003875643957172957
652,0.0015806838721048248
653,0.011007303033826625
654,0.09297659398437341
655,0.009096088726311354
656,0.004307877119668256
657,0.026800105021028246
658,0.005039894855107412
659,0.003639703814513222
660,0.006461162550254328
661,0.020410793011682873
662,0.0401787653916223
663,0.015712055604159218
664,0.01930512788255228
665,0.004020291092719251
666,0.006675621933657387
667,0.004120847716195718
668,0.013449794759428806
669,0.02608138896956578
670,0.06274525897498875
671,0.0060902999829130985
672,0.009502778172848454
673,0.02567560026137946
674,0.00864461472772212
675,0.009562553859506391
676,0.013147701147216133
677,0.010359821305230422
678,0.0042978022831106286
679,0.004812063306628665
680,0.009249214979785224
681,0.00312922249524538
682,0.0023458634092896266
683,0.0244009048251373
684,0.012779172369719698
685,0.02757309314433478
686,0.006017773598355529
687,0.011576151092102645
688,0.02741885349179806
689,0.0018266159313987881
690,0.013710260602046394
691,0.004466998207905963
692,0.0032586515112902263
693,0.06556730458802192
694,0.0632169223528452
695,0.008406957732808744
696,0.034112564975281805
697,0.009477097047679982
698,0.007097752066050685
699,0.003141119247735517
700,0.027070287155029855
701,0.008416040653191771
702,0.02341900548963991
703,0.00798416328698786
704,0.008571243073528294
705,0.00546469044197697
706,0.010148426991670713
707,0.03232344488590528
