Dimension,EDI Score
0,0.25181456697100413
1,0.35430631453756334
2,0.32822629540007614
3,0.2923080487988587
4,0.21203075201925642
5,0.41964117827078884
6,0.2712510800057546
7,0.1978216892467472
8,0.27655718506780563
9,0.2791307831179526
10,0.3195720682377827
11,0.21306323851936493
12,0.36276102525234877
13,0.21460245204603376
14,0.2013607360624879
15,0.28773895921521286
16,0.23321981016503696
17,0.3954907464115772
18,0.2693220791287825
19,0.16534480961671888
20,0.3306703650257018
21,0.08871406976201934
22,0.16249088734976735
23,0.3700797446124467
24,0.5058889308897381
25,0.3039174579472631
26,0.31989000139999124
27,0.29076922584773135
28,0.29658551198476335
29,0.1459102586533495
30,0.2196637210326034
31,0.26815582972480806
32,0.2803000648597651
33,0.5290031918959308
34,0.22098550442167297
35,0.1630590288425242
36,0.4023613690015777
37,0.20400011324269754
38,0.20360368804763224
39,0.17222789953938955
40,0.23507510215270355
41,0.26202303355849754
42,0.3894822402741802
43,0.1368233677700582
44,0.2739825928895432
45,0.27313296706528145
46,0.314551672851132
47,0.383353101700402
48,0.3043607732323289
49,0.26628613122412614
50,0.280132843605807
51,0.24220308420190173
52,0.19894069104600792
53,0.3365414445658842
54,0.21610897748113791
55,0.3449131923206207
56,0.19175448525954863
57,0.271172210571371
58,0.2828373219120834
59,0.18892733444618243
60,0.1442274873842588
61,0.19961846774913458
62,0.2621265938705117
63,0.14836351680803067
64,0.360451169454524
65,0.32631242234801183
66,0.36394393211914056
67,0.40768987495501297
68,0.2595762239532371
69,0.32819999943823164
70,0.2641748468820035
71,0.20169274538022725
72,0.08491784940606245
73,0.1762035938743585
74,0.2251924162103939
75,0.39854442213299873
76,0.3562891479205737
77,0.3453430897553299
78,0.32358807108135484
79,0.3578940702236249
80,0.32022629389355983
81,0.39983656513884647
82,0.3697635533295972
83,0.20279213676013733
84,0.22217018945369915
85,0.1830012442749443
86,0.1831889516826904
87,0.3075658430179839
88,0.30859615651185385
89,0.36029026357829436
90,0.20260839608655273
91,0.19069035002006832
92,0.16972159791525232
93,0.3038822556093764
94,0.14844679126781107
95,0.3871363334465638
96,0.2403010459455685
97,0.19791410956772823
98,0.18633655948681438
99,0.21648630238093308
100,0.11083038677640075
101,0.40821821826442795
102,0.18514228538013783
103,0.34483166002439136
104,0.43324859831345897
105,0.251739168574413
106,0.1655132557642831
107,0.38995872459775005
108,0.38172255810532024
109,0.3999168088020301
110,0.1746579430925762
111,0.12120132690037139
112,0.38528775194548953
113,0.5067023345333034
114,0.2938470253128127
115,0.40346080842461873
116,0.25421891122227447
117,0.17599523240530954
118,0.34398221190978007
119,0.10758246170557456
120,0.2706307477991511
121,0.4028185158327976
122,0.2769935387271064
123,0.3175172473051838
124,0.3170213412491226
125,0.40417184171598564
126,0.17593584586192432
127,0.27156115574614703
128,0.4378109893572074
129,0.22525361176169956
130,0.18462187605065658
131,0.2687084574329513
132,0.2560229122495952
133,0.36398118416583775
134,0.2814484561037805
135,0.1798085135757808
136,0.2243165024069271
137,0.2647964592881994
138,0.15636881014812026
139,0.23502334574687833
140,0.4668506493833489
141,0.3551445060484537
142,0.25321593953662924
143,0.1403581246234678
144,0.3690741720678129
145,0.2956239813031189
146,0.2685823902742981
147,0.3938873975864544
148,0.2625963031417154
