dimension,kl_divergence
171,0.2345465933382356
363,0.02404470371850902
544,0.04924806410610876
643,0.0389220779475408
44,0.005803323490997647
473,0.11100359097375753
691,0.046512519852639045
40,0.014549057108508828
737,0.07263270104306115
451,0.031630335586828665
322,0.03429856162650413
264,0.09425821010018431
251,0.048637315174989364
392,0.08133935821320025
679,0.04298589758797969
348,0.04784043592562466
604,0.02350073249670821
692,0.026757036623045728
104,0.0140329024739961
684,0.12185033256701502
85,0.14016912570227477
281,0.053931132487541215
647,0.11745964536373607
231,0.04734034865779622
96,0.06843743897526043
229,0.1267148194801526
261,0.18513147855052192
453,0.0662989954963578
414,0.03980056844505673
207,0.07738396850121303
191,0.10047776791646809
505,0.14038557925724696
549,0.1231065734197862
102,0.03153527627699544
186,0.012010038679786996
411,0.04253765954400733
243,0.019338689336089995
272,0.1281548508570551
654,0.19287105690466483
660,0.009951820780015577
642,0.4795609398177795
758,0.005368756306581821
743,0.08454673764139863
449,0.04754976396243484
500,0.5173297483686049
188,0.02651991683326592
479,0.1020137146170442
337,0.02193422671252802
439,0.01983678389990264
395,0.025485890885622968
710,0.01161144487683493
159,0.14986126214532555
688,0.10971441455602178
122,0.02067149877345449
274,0.14714661294709172
166,0.07784747605552239
521,0.1562329101259978
452,0.017219581938703096
507,0.012504862018681829
210,0.02762976591483615
445,0.04869231813490767
285,0.012763197127916433
314,0.08386900737978492
431,0.010727844270623664
515,0.08652073799367423
735,0.015167459333415047
106,0.007840379903846933
599,0.23717795595822383
67,0.04582238736402867
364,0.023843331891125922
740,0.08804447223805427
398,0.20494693418102417
0,0.04739034100272438
455,0.15043832936440507
259,0.05867210806644623
662,0.05057905024749164
734,0.17508884814898615
728,0.03753764257864277
580,0.04677864178355886
693,0.03185338134192337
547,0.033901800901796786
729,0.14272434460753414
105,0.01873071427228512
406,0.03804140594904821
626,0.02611805183321963
657,0.3911955106909087
376,0.026597872380783778
289,0.13180916642847074
705,0.0169906253956005
319,0.009593804273533285
461,0.11416905271382173
71,0.014208386707609197
687,0.06503198724112919
709,0.05107340816580735
470,0.03789111650207895
588,0.037785223781824154
126,0.3636651361534466
286,0.08353036229904715
699,0.010857816256612595
686,0.051802447034777446
360,0.0307601417836155
487,0.12824177653834024
169,0.3303928081105496
596,0.03248086415314698
150,0.3996135416344047
38,0.2155288670554473
220,0.23867765460954357
152,0.037225279807349805
26,0.022535940753455146
297,0.14798826235433288
333,0.036602275291891785
212,0.12329742386613018
757,0.02443390245621586
343,0.12823640854019988
572,0.151386002009613
683,0.021871241836202295
76,0.07266512169888116
716,0.02666215724761638
189,0.06546073003932044
132,0.033521389765980916
534,0.03749422937796277
365,0.04181213230017025
558,0.2649640338779617
589,0.15167901858872532
528,0.005663500063143323
608,0.015444104480515038
530,0.19910690078329707
352,0.07334416741846701
180,0.1023402908568644
423,0.020971873628696167
379,0.037369079375078634
516,0.06780443769358888
518,0.17307118207516725
656,0.06359042040430686
56,0.0128526425704047
370,0.01895788180282935
556,0.04721947570805836
223,0.02076115027760999
661,0.059343362797016665
638,0.09808195100399551
459,0.030954617058119544
504,0.08787002717506225
485,0.019754510558445286
442,0.12043173397472426
766,0.031162071052992384
471,0.027916512974857293
123,0.018797063043839005
114,0.057687400749340305
640,0.12652105037666653
73,0.06764854396770027
682,0.1928735930224833
430,0.014713569534493253
621,0.18627492719989375
51,0.0065488097324747935
550,0.08517602257468715
463,0.03766377792384544
318,0.011367875084285422
380,0.08976444115869421
109,0.0067937552066858154
371,0.2699514799858621
707,0.07686734360957166
714,0.10961367012251541
54,0.02167305813517516
551,0.032003901199210386
304,0.08224805637609481
523,0.010550590428362499
425,0.26413015910110776
613,0.10459372276864251
499,0.09859010251069229
522,0.19359943993181775
81,0.1287874643540369
440,0.838493237410299
31,0.025137153276384137
20,0.11880647048346579
330,0.0946536680519731
632,0.012652123483323403
665,0.09096883187072588
717,0.043265976163250675
624,0.024127771087417108
193,0.056806888990595064
267,0.1627054049457114
706,0.012062336336175365
396,0.02499586314725192
87,0.032725050426885526
527,0.05023236324398615
508,0.10902670543185838
703,0.32730081296322605
517,0.03209710619177273
170,0.29333815292774185
713,0.1734564238698884
101,0.11816200074629309
113,0.3333541343317409
37,0.027575231175013974
644,0.13443101472621558
401,0.028988437314611887
25,0.07624608227115931
148,0.0147097656916579
609,0.04150518557191082
519,0.03953346507340957
111,0.07072034345377785
32,0.022321190640377173
263,0.010087729533518424
586,0.025184560132902652
755,0.007659752334758304
19,0.09842066135424891
250,0.016823844856526365
421,0.06235445286970452
143,0.33381093615247165
650,0.11103941021337876
291,0.03511812940770911
382,0.2549144902448806
173,0.01867983013496631
190,0.18359802120205063
384,0.02075480236888735
22,0.006435385729399329
419,0.038542074347490914
441,0.09927252372068236
587,0.024748001222175672
287,0.0436149465110718
90,0.021573203193421008
388,0.19017664707205792
553,0.078701318944195
752,0.018480217759887344
480,0.1554206955769908
282,0.013548031583138283
