dimension,kl_divergence
431,0.02933135657538759
500,0.1916344263476539
623,0.15331847994500367
461,0.06131665246461862
348,0.03316529383290344
401,0.055852066038465126
96,0.07929737819672635
455,0.016412539952411008
407,0.07135726763974977
594,0.013911865889493166
733,0.02637145361842299
74,0.015184210377027161
303,0.1446879548225392
370,0.046996701405003
99,0.0209620756452042
715,0.08263690968063393
654,0.01270796487951024
505,0.028311471373671175
304,0.11237558561838103
366,0.0649581355325118
507,0.02428924311314917
698,0.06640414309914605
734,0.02704445589854185
286,0.056585815363888174
40,0.020138047330667277
162,0.020944484210472056
46,0.13053343077219073
706,0.07226299585817611
313,0.008656009216987904
190,0.030312947190579042
684,0.010472251223991588
481,0.034296609209133605
387,0.060340492274349754
662,0.032325503855241126
92,0.03305652706136688
103,0.023086214758351226
614,0.10326971476199617
113,0.014534433758851195
627,0.19931122648570565
120,0.047518933751165386
613,0.283853819188972
347,0.040922418043190675
520,0.1678908999891012
105,0.08180971051622093
397,0.15251561591563176
182,0.2265028407749959
280,0.2771511748438634
45,0.01534323571417231
62,0.025680355771446613
409,0.037625212474404715
460,0.03262971624058574
337,0.07943936024157353
508,0.204953719433179
744,0.034580066445133936
489,0.013990765058183854
447,0.07855679690599178
56,0.21205601328720505
274,0.013570452102406887
647,0.013812990150327234
150,0.042741137372315684
638,0.07356316726259272
751,0.060943221552274704
52,0.22022292639601096
157,0.10038610814958328
705,0.1432082847417847
38,0.07928750086865963
102,0.06050653461636193
676,0.1691777528183395
179,0.0706964227151085
206,0.03203752966881742
1,0.014968277404996016
605,0.01832932337891328
609,0.1099880902516478
230,0.03955199541381403
544,0.38270079452273537
574,0.13866755564055622
555,0.11717117708124611
131,0.04171357093102716
349,0.07263224956181881
545,0.03943839806078709
459,0.019557420751636564
143,0.013827644950646313
311,0.08430315085949934
531,0.12553062765930217
645,0.026071071655885972
344,0.1726614596408709
183,0.024171465246485675
191,0.10410038822314595
85,0.012007095625700286
67,0.04627926431320822
351,0.02310074492249189
210,0.008672903714652201
42,0.25636855889168586
249,0.04934887428009702
114,0.10082643208047858
592,0.0631331063678412
267,0.45648130480166815
293,0.12231567564842599
425,0.15857370220073472
98,0.3399044846105926
729,0.028678649466742735
472,0.018116846864935362
331,0.19414415011494887
536,0.25339541902542434
524,0.049708847692040446
355,0.2397592816637042
2,0.021248020152246444
566,0.09933596479378201
153,0.009877553923002335
129,0.019720647050523853
44,0.04737850513033026
225,0.06363341311124411
731,0.12485539944874245
693,0.2504498015141338
675,0.16601948540118552
291,0.058564179621072826
12,0.009821711655071291
64,0.09629673499598913
471,0.03736466007719477
593,0.11790435567769653
618,0.24798584026226192
564,0.03189398558111582
195,0.02532777044528199
670,0.04148928478991292
443,0.026337186005802538
75,0.05152051312463395
302,0.0863194740495852
208,0.08552395472009477
423,0.04166152003538562
393,0.1528454604659945
176,0.0075713328764810345
663,0.1835892360508438
211,0.054857091110307205
449,0.04908781903093821
552,0.0579788190559019
658,0.025713232687957388
26,0.07030387981626064
759,0.06414107601142247
146,0.10178425022175468
203,0.05754374919800659
171,0.03872482771323003
334,0.06120112836625697
356,0.10256631601332206
518,0.1794783704962685
