Dimension,Weight
0,-0.0681814344351768
1,-0.07699567222305428
2,-0.4011950285308481
3,0.3730795257831443
4,-0.07158248507465283
5,0.014195395674408766
6,-0.11974377843816614
7,-0.09080018651706746
8,0.3171487164300078
9,0.19482324858486116
10,0.03497713820305048
11,-0.48807685088570113
12,-0.09934781029083745
13,-0.09645322394984195
14,-0.009669785500325863
15,0.14734913133044475
16,0.2757384242622593
17,-0.0900185425246971
18,-0.09063555077918745
19,0.3749299682013556
20,-0.3149920071192726
21,0.0247225344608782
22,-0.06490929194606938
23,-0.054438539738912946
24,0.1843654764456457
25,-0.21076733133973335
26,0.1777751019370387
27,0.24007632349804556
28,0.17783504824309485
29,-0.11102318301429556
30,-0.4352157634651125
31,0.38355884259177025
32,-0.1949299546173709
33,-0.07954051778115052
34,-0.22617771537293838
35,0.1944395821091493
36,0.23167725045020165
37,-0.013363187144641322
38,0.4048973021049833
39,0.28131014374468916
40,-0.40221517005463736
41,-0.024485252579105082
42,-0.31631541103057376
43,-0.16931156097827296
44,-0.03555819355162215
45,-0.1284911847736859
46,0.5789896696015124
47,-0.04683166912431362
48,0.39107456295669185
49,0.07036193542768691
50,0.2961801939713099
51,0.3351480521395281
52,0.4244984368684636
53,0.13191097256187465
54,0.10754349458638521
55,-0.4263174082722643
56,-0.2898242840872213
57,0.12904060956103716
58,0.08326995106022979
59,0.21794607428158372
60,0.28055648267761607
61,0.2977907718257017
62,0.11942740314478893
63,-0.012326837723786184
64,-0.051576503724710634
65,-0.22373437087757095
66,0.06990522171238364
67,0.2348186821167911
68,0.036290105807323086
69,0.025347703570698262
70,-0.13861357087582168
71,-0.11730402635199076
72,-0.02522512052731752
73,0.37817432770862686
74,0.5741666350370772
75,-0.23529064473825254
76,0.4802443402600073
77,0.005700276739698552
78,0.0932990308515839
79,-0.33865155234251854
80,0.10410310903889074
81,0.0931647289756171
82,0.5309875134310856
83,-0.18200335289877523
84,-0.0008083447213388278
85,-0.5007866328608991
86,-0.33501024632189
87,0.3525559579276622
88,-0.08255187489897681
89,-0.20239036445123396
90,-0.03007906346065225
91,0.1191063066347027
92,0.18292083991341782
93,-0.30275350947112106
94,-0.11258636403500166
95,0.17666534508431628
96,0.46360679944053396
97,0.4736554956790911
98,0.09901622678009717
99,0.3201172649817734
100,-0.11602191439417295
101,0.4402601877140032
102,-0.28891455297944113
103,0.17328481948209032
104,0.5034179522080265
105,-0.532826938267735
106,0.5179916649620516
107,0.27985175941946977
108,0.05994423910664875
109,0.43067418191209994
110,0.04144830076132658
111,-0.04933551243168136
112,0.14997233703595628
113,0.20573007106979016
114,-0.23551264534730199
115,0.016733607339843613
116,0.06720895796079619
117,-0.05073765150804691
118,-0.5677964448952021
119,-0.1456526709020627
120,0.0541530752619203
121,0.09450413019283471
122,0.41483026795711647
123,-0.02092085255308245
124,0.336598690870307
125,0.3193423060771815
126,0.4382348276978165
127,0.005291231069069175
128,-0.16338808364767582
129,-0.023159482735043087
130,0.04411949048269661
131,0.11028715013915247
132,0.09439933285033429
133,-0.2132670770526209
134,-0.06885061242260743
135,-0.22987538665229132
136,0.09562918760517068
137,0.05667928907445588
138,-0.058487981355333174
139,0.16889826777446562
140,0.2896858659789848
141,-0.4152594823739261
142,-0.1919037487709816
143,0.2368532569436363
144,-0.10120475515970474
145,0.0943564302101821
146,0.17611304490156743
147,-0.6153202970603739
148,-0.3257737319494993
149,0.24435195064296408
150,-0.08133838440060674
151,-0.11380542870322757
152,0.3267446650725168
153,0.07156496105590053
154,-0.05874268194744154
155,0.0007501184722908442
156,-0.08233600033000495
157,0.2815605784954741
158,-0.018604571751609723
159,-0.323470036167291
160,-0.27771915829793753
161,0.23519003250424078
162,-0.22725422988190042
163,-0.019122266484808723
164,0.4236353630726801
165,0.006581211440913177
166,0.47617365009186086
167,-0.07603086896397812
168,0.20059596296271442
169,-0.17558954110598896
170,0.005583810966439735
171,-0.721869525963981
172,-0.08237890031686906
173,-0.22991388930609616
174,0.2216238562534039
175,0.21039260394286166
176,-0.31862513772247614
