Dimension,Mean_Sentence1,Std_Sentence1,Mean_Sentence2,Std_Sentence2
1,0.15882946042707508,0.2447748201546809,0.16370541377907014,0.2422993077590064
2,-0.09844551241761305,0.21527168668325783,-0.1874666940044985,0.21359060668714208
3,-0.10143097733351553,0.2343123120265231,-0.13110797551729556,0.24009079422262483
4,0.07663508125322296,0.18229534049877313,0.04832346776387606,0.18592371625449788
5,0.06376286077747093,0.22518854567736396,0.03711855087358796,0.22033068861637406
6,-0.033513744943903,0.20491908232159195,-0.011544383328062008,0.20477342165026557
7,0.08068701420307674,0.21364025120788885,0.11934050336938205,0.22356232680851723
8,0.49085788272470177,0.24680576788953776,0.4492686216817016,0.23794793282362178
9,0.08618854026835812,0.26431078723905954,0.07663295930158837,0.2657077890621234
10,-0.22824597268422242,0.23802311507452711,-0.16116371504574523,0.24679127382257876
11,0.07643082260055203,0.17392231826089555,0.13437863820214013,0.1858571291902727
12,-0.14982916004720467,0.23855336830026216,-0.16710993318069578,0.23919525211609463
13,0.008986908181396006,0.20079416095630045,0.10079118082517591,0.20970370290435097
14,0.27350278658616795,0.22482311805523694,0.2964425265300562,0.21744329620552394
15,-0.19605310607171908,0.21877533361116075,-0.26046530579065885,0.20485382075002004
16,0.14418477689521494,0.22431824077323714,0.08616858770550231,0.2180690944769286
17,0.04395643006115522,0.226437160495763,0.08756677877852209,0.22689582491233606
18,-0.08039649882069513,0.2176228473835469,-0.008958326108926008,0.23546502439071987
19,0.023513430259208094,0.18739566519134246,0.010254650381076109,0.18245324336708857
20,0.07446912534899705,0.20230960879425883,0.07001851565388698,0.201738526882521
21,-0.011557045817637501,0.2340403205269896,0.012904197443404907,0.2350289733804024
22,-0.17388827247467883,0.22755769777755583,-0.20425757187895704,0.20862056107774016
23,-0.14784561649480404,0.19169858473151444,-0.11378697908578107,0.18351753480072294
24,0.4106803442889006,0.2099443632733804,0.3931282957479302,0.20701681444314415
25,0.14092376300672996,0.19036583982808675,0.14498401778155298,0.185569555445382
26,0.1480836870251692,0.2068338730116913,0.10165738088221414,0.20676283832133774
27,-0.19469660829910898,0.1959030048973023,-0.15419492299951773,0.1920747384405329
28,0.041165778703990116,0.2311236976011727,0.037984977725078126,0.21991842096033168
29,-0.28024243608564287,0.19410514562247683,-0.23147309729580223,0.18543462655514198
30,-0.17638449879723,0.17395518786032116,-0.18419648968116004,0.17656601091820054
31,0.1089374493942109,0.21239365234938248,0.129028292707324,0.21093962176336692
32,0.06824437393192506,0.21153894824411726,0.025789748272763036,0.20466879482114064
33,-0.1939751715982808,0.21103052629548322,-0.17535986659506408,0.21821428879789143
34,-0.03584768255318645,0.22776976037328728,-0.0004614292319014026,0.23358592203819634
35,-0.20531076337534573,0.22876485004101893,-0.13749458584927046,0.25319713556970647
