Dimension,Mean_Sentence1,Std_Sentence1,Mean_Sentence2,Std_Sentence2
1,0.2819642421701048,0.22316216215681287,0.22230012412451092,0.2739158360592624
2,-0.08735893739056502,0.23291426510246507,-0.18224328750443886,0.23175343658407202
3,0.17741500841184005,0.24290210584743938,0.07583343156759208,0.2523110245504912
4,0.0826977702534641,0.16625868328119695,-0.011059283214227004,0.20205300741191504
5,0.16524354478439607,0.20790511290876956,0.1841518353194391,0.229643973559005
6,-0.3624747743369699,0.2001493815112918,-0.3082813254134506,0.2528941652141977
7,0.09101586120687699,0.19737062902683264,0.17266294685068975,0.19661395551552105
8,0.511533817161429,0.22988943358510455,0.6006087571369894,0.2585616096754389
9,0.173761344015832,0.22324711318800164,0.09974271189373593,0.24564138415666087
10,-0.2812755602089088,0.24780433035452798,-0.2858836600812399,0.30522922926429735
11,-0.00501614816812399,0.22565177323863514,0.007651181547042008,0.22169413437911378
12,-0.41396540697084,0.18473143563872194,-0.36094858534682944,0.19725362128966992
13,-0.029134819218617006,0.18892705186454845,-0.04646993362151325,0.2279420444210262
14,0.2397233113600699,0.22320696682191873,0.29540384068280195,0.2050729355391169
15,-0.323726629674776,0.22269981455836188,-0.24877862174735813,0.23591415312028138
16,0.05693520705620204,0.2072638466299487,0.09389790781186799,0.19139480468733758
17,-0.09405355212171011,0.22085567885244745,0.011015832506540004,0.2322427524152095
18,0.09669038400786983,0.2080244292652165,0.12404567671202511,0.24499736762559812
19,0.11812247442266015,0.2100143591362578,0.1539622532583034,0.22206928507331603
20,0.30242568353342,0.19745031761538945,0.2306544733867358,0.19050021149794338
21,0.05098876491757789,0.19758177040508898,0.04254211493161005,0.19170103394488566
22,-0.10557823153868208,0.20810735648890455,-0.05030637863995792,0.20806277239253637
23,-0.19804248263473384,0.17346970962736308,-0.18092786996398283,0.20052552617316974
24,0.2496685886794779,0.21117610678971785,0.38311986099684026,0.19828956434044126
25,0.34980207410439973,0.19384033252839092,0.3638264305420997,0.1735876153810643
26,-0.03068955508498001,0.23537220224688452,-0.08433359466024012,0.24062278742961285
27,-0.08425224690648687,0.20944433246201113,-0.11057762890200509,0.1817418308915373
28,0.13192816785830086,0.2091485012654853,0.11879094365332102,0.24289593055991507
29,-0.17378060501981787,0.17702635458623114,-0.13976202440725596,0.18739872817770337
30,-0.29531373881961914,0.16857123778239558,-0.22807309403307857,0.18790591545593618
31,0.10954498823197495,0.1908835809624452,0.19033399630845094,0.21802604752427104
32,0.1217707605605501,0.19184535823739077,0.14124043184249332,0.19064756885190026
33,-0.13161197691515475,0.19684336575747358,-0.15804924727193215,0.19680932327314604
34,-0.005258858519173997,0.18254032940727555,0.016283542569369987,0.1904166213722928
35,0.09130023886544021,0.22685973482088284,0.14915443676084184,0.24211120759029106
36,-0.013241166822449952,0.23281321703296642,-0.03374668550527696,0.23329510871831483
37,0.07978955360860883,0.19710271889802847,0.08424064861166008,0.2056712248689493
38,-0.06479314961609677,0.192532300282143,-0.0602931237250869,0.2049094739628826
39,-0.3538999634394,0.16732939942064054,-0.33688241946874564,0.17489446599387762
40,0.1722027031614549,0.19968988428141907,0.22066028050544578,0.19596073781366655
41,-0.38140186333821596,0.21284535784779887,-0.4542535416971992,0.2350638933473992
42,-0.09960825584747905,0.19228510184950134,-0.12833931253915992,0.23193206448357315
43,0.10298484787208291,0.20184695036718373,0.07092959123399102,0.24212799145323138
44,0.2225358208968598,0.16769707492047053,0.17912624825082896,0.23375947966709218
45,0.07094855246301893,0.19738216657115998,0.006636088954638999,0.20464345989260344
46,-0.36506727027819086,0.191076484240177,-0.432412903662903,0.22572215073178928
47,0.26733204346692985,0.23287779053140112,0.2784282570066804,0.26844201230168974
48,-0.2502401914669799,0.20913041845101485,-0.256047797647678,0.2189797448847241
49,0.17427061276828204,0.19622376386174986,0.22920558589675374,0.22210054340564084
50,-0.3028693748632979,0.20224852824629372,-0.35794560146084975,0.20653452666013009
51,-0.19893432087870686,0.21415232040416174,-0.18750024412897395,0.22100400769535905
52,0.23211411586989394,0.19470258240655283,0.24437670783159426,0.18183389227883726
53,0.12303683619479967,0.25738467844059776,0.10441834781579004,0.26431458966183213
54,0.14697114807301317,0.1770802138150028,0.20237944643171882,0.2064570689643314
